PERIOD,DECLARANT,AT,BE,BG,CY,CZ,DE,DK,EE,EL,ES,FI,FR,HR,HU,IE,IT,LT,LU,LV,MT,NL,PL,PT,RO,SE,SI,SK,UK
2013-05,IE,"62,10",:,"297,60",:,"123,58","2.219,85","142,49",:,:,"1,41","0,31","600,25",:,"759,74",:,"0,82","468,30",:,:,:,"1.262,26","6,53",:,:,"99,16",:,"59,40","22.073,92"
2013-05,IT,"3.193,99","293,19","482,05","88,00","793,29","23.054,84","36,25",:,:,"168,53","0,76","4.285,21",:,"12.792,78","103,21",:,"610,27","43.950,64","606,13","178,70","17.861,68","2.068,78","242,19","114,82","2,96","23,50","278,52","13.688,32"
2013-05,LT,"6,31",:,:,:,"420,94","322,28",:,"95,02",:,:,"1.647,39",:,:,:,:,"189,15",:,:,"8.339,17",:,"24,31","690,16",:,:,"545,90",:,:,"238,29"
2013-05,LU,"33,80","6.267,03",:,:,:,"1.874,20",:,:,:,"1,56","270,66","641,93",:,"0,07","1.647,60","1,02",:,:,"1.056,75",:,"1.042,61","192,42","35,81",:,:,:,:,"1,28"
2013-05,LV,"275,25",:,"53,72","230,26","1.062,34","844,45",:,"2,44",:,"29,61","411,97","4,93",:,"40,30","251,83",:,"2.651,49",:,:,:,"0,39","7.535,86",:,"50,29","499,04","296,99",:,"117,27"
2013-05,MT,:,:,:,:,:,"172,20",:,:,:,"39,94",:,"0,94",:,:,:,"717,21",:,:,:,:,"293,35","10,61",:,"6,85",:,:,"17,63","24,37"
2013-05,NL,"14,88","1.781,19",:,:,"747,30","5.432,68","9,29",:,"364,54","171,57","0,30","1.493,54",:,"646,42","43.124,19","21,53","2,03","0,32","354,14",:,:,"2.260,35","0,44","6,45","2.352,37",:,"643,84","3.598,01"
2013-05,PL,"9.457,95","0,14",:,"259,86","13.655,23","8.392,33","0,36",:,:,:,:,"3.800,08",:,"4.233,54","7.143,39",:,"69,36","710,40","172,17",:,"5.942,33",:,:,:,"10.226,16","19,87","39.426,21","2.891,20"
2013-05,PT,"19,30","0,03",:,:,"213,47","4.608,41","1,63",:,:,"380,69","0,49","834,59",:,"1.911,87","3.225,74","387,71",:,:,:,:,"12.156,08",:,:,:,"154,68",:,:,"1.258,76"
2013-05,RO,"3.026,79",:,"320,86",:,"5.788,67","3.199,96","24,85",:,:,"5,65","2,38","73,68",:,"1.167,42","7,03","49,31","99,91","782,79",:,:,"3.725,95","0,23",:,:,:,:,"14.712,68","608,14"
2013-05,SE,:,:,:,:,"366,13","5.134,87","3.774,56","69,71",:,:,"4.620,48","50,29",:,"4.800,85","6.198,41",:,:,:,:,:,"96.167,63","287,12",:,:,:,:,:,"653,95"
2013-05,SI,"5.033,23","0,36",:,"2,21","1.145,15","1.865,02",:,:,:,:,:,"523,83",:,"6.728,56",:,"0,13",:,:,:,:,"146,33","7,53",:,:,"629,13",:,"155,49","13,59"
2013-05,SK,"214.737,63",:,"11,60","318,00","6.813,32","8.587,51","12,61","48,50",:,"1.295,86","1.617,82","69,70",:,"5.389,16","1.188,20","1.574,00","152,56",:,"14,29",:,"40,00","9.163,90",:,"233,61","308,53","1.336,34",:,"3.397,92"
2013-05,UK,"453,90","979,07","758,85","439,19","4.864,78","18.796,70","60,58","125,97","253,28","1.624,39","99,44","2.339,77","7,45","84.071,89","60.602,89","895,58","220,57","490,64","3.880,81","169,94","229.613,51","18.502,95","439,22","64,35","4.077,04",:,"630,84",:
2013-06,AT,:,:,"1.245,10",:,"532,75","7.047,67","96,55",:,"63,84","52,51","0,46","3.959,71",:,"388,36","7.585,87","80,60","168,88",:,:,:,"4.463,10","3.991,81","346,95","3.475,19","1.498,99",:,"34.348,56","1.701,87"
2013-06,BE,"14,55",:,"113,03",:,"22,51","5.617,00","37,97",:,:,"499,95","136,54","1.041,23",:,"2.701,39","4,49","1.020,28","600,82","136,06","416,51","216,12","35.011,68","412,48",:,"36,12","808,40",:,:,"3.275,81"
2013-06,BG,"1.569,60",:,:,:,"1.449,14","2.408,23",:,:,"14,16","83,40",:,"59,60",:,"598,81","39,50",:,:,:,:,:,"1.764,02","197,03",:,"969,31",:,:,"5.218,19","351,06"
2013-06,CY,"325,89",:,:,:,"115,51","911,27",:,:,"7.406,60","0,23",:,"1,46",:,"31,79",:,:,:,:,"40,52",:,"13,56",:,"5,01",:,:,"119,01",:,"159,04"
2013-06,CZ,"1.397,90","10,74","1.301,23","927,30",:,"12.388,16","37,51","2,84","167,79",:,:,"425,73","37,22","671,07","162,86","20,47","18,05",:,"374,66","296,47","2.319,86","12.494,93",:,"35,58","1.391,34",:,"24.529,96","2.389,92"
2013-06,DE,"10.268,68","1.107,47","1.280,92","2.756,98","26.740,41",:,"2.872,02","2.697,58","2.828,11","866,67","56,60","12.879,98","0,62","25.579,07","41,05","1.402,50","827,87","13.496,17","1.629,41","2.517,54","88.992,46","59.823,69","1.690,57","1.452,66","2.925,34","862,96","7.069,88","14.633,57"
2013-06,DK,"14,87","4,73",:,:,"13,71","2.595,93",:,:,:,"1,50","0,39","29,35",:,:,"433,21","11,50","100,00",:,"78,68",:,"11.946,23","113,77",:,:,"42.192,88",:,"8,99","226,93"
2013-06,EE,"44,01",:,:,:,"827,26","556,34",:,:,:,:,"571,29","2,17",:,:,"193,51",:,"231,50",:,"2.606,99",:,:,"725,36","68,10",:,"566,01",:,"5,78","206,10"
2013-06,EL,"7.780,48",:,"0,24","182,83",:,"8.114,34",:,:,:,"4,05","0,24","868,20",:,"218,80",:,:,:,:,:,:,"932,51","32,89",:,"4,08",:,:,"88,58","566,14"
2013-06,ES,"228,35","166,00",:,:,"63,86","12.534,14","16,80","1,95","0,03",:,"7,58","2.018,29",:,"4.199,61","12.161,88","4.299,45","9,90","3,48","45,92","0,37","36.326,67","164,66","845,11","28,18","5.572,17","10,40","23,06","6.887,19"
2013-06,FI,"3,58","90,44","50,13",:,"955,23","3.393,11","67,11","102,79",:,:,:,"19,61",:,"5.870,15","3.255,30",:,"18,68",:,"1.321,48",:,"4.383,45","1.027,64",:,:,"9.533,74",:,"1,05","454,01"
2013-06,FR,"546,01","2.377,98",:,:,"1,32","21.810,15","59,16","26,99",:,"125,82","53,37",:,:,"19.523,85","1.459,61","420,95",:,"32.356,62","24,51","299,70","76.272,49","3.017,17","53,52","108,35","2.516,28","83,92","14,94","4.420,99"
2013-06,HR,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
2013-06,HU,"1.018,15",:,:,:,"1.376,77","2.092,30",:,:,:,"0,38",:,"841,81",:,:,:,"10,16",:,"130,00",:,:,"2.594,08","1.072,03",:,"0,35","2.637,23","1.242,89","12.070,78","545,62"
2013-06,IE,"27,60","18,30",:,:,"262,08","3.609,93","108,24",:,:,"2,08",:,"499,21",:,"514,58",:,"55,60","295,80",:,:,:,"1.793,27","145,81",:,:,"1.343,30",:,"245,50","11.951,80"
2013-06,IT,"2.772,14","174,68","699,83","246,51","437,21","24.324,67","28,16",:,"178,84","411,26","2,33","2.814,95",:,"34.961,87","10,16",:,"739,60","27.348,28","577,47","100,05","18.498,02","3.065,41","636,39","1.618,15","1,34","234,19","241,90","16.186,13"
2013-06,LT,"21,93",:,:,:,"900,10","90,66",:,"65,53",:,:,"1.360,98","0,09",:,:,"63,11",:,:,:,"6.903,77",:,"35,95","2.936,21",:,:,"537,80",:,:,"290,95"
2013-06,LU,"30,39","2.618,84",:,:,:,"2.469,45",:,:,:,"2,52","273,40","1.643,34",:,"0,18",:,"0,31",:,:,"368,61",:,"2.149,11","225,66","14,91","0,13",:,:,:,"329,65"
2013-06,LV,"158,85",:,"1,02",:,"690,84","473,91",:,"5,43",:,:,"480,21","1,75",:,:,"105,13",:,"3.621,76",:,:,:,"0,21","10.075,68",:,"486,18","128,49",:,"24,06","50,70"
2013-06,MT,"12,15",:,:,:,"22,92","75,48",:,:,:,"50,45",:,"1,25",:,:,:,"204,57",:,:,"6,84",:,:,:,"9,40","5,44",:,:,"20,78","13,56"
2013-06,NL,"4,95","1.845,70",:,"555,61","882,32","2.929,01","256,74",:,"907,77","326,73",:,"776,64",:,"621,12","25.555,50","68,28",:,:,"293,05",:,:,"2.096,83",:,:,"41,57",:,"233,64","1.131,75"
2013-06,PL,"6.437,71","0,07","28,55","408,23","13.236,94","17.736,06","5,07","248,18",:,"0,21",:,"5.837,47",:,"8.045,17","2.519,59","22,24","0,82","1.960,38","199,79",:,"3.863,92",:,:,"1.177,04","6.643,92",:,"591,88","888,27"
2013-06,PT,"14,97","0,07",:,:,"41,34","3.885,18",:,:,:,"155,40","0,70","2.153,50","6,49","334,36","5.519,31","221,83",:,"1.359,69",:,:,"8.326,89",:,:,:,"1,34",:,:,"1.520,36"
2013-06,RO,"2.319,12","85,45","714,97",:,"6.371,74","4.845,92",:,:,"23,21","5,54",:,"726,71",:,"1.004,81","1,17","51,84",:,"885,76","0,21",:,"2.609,79","21,01","84,37",:,:,:,"19.927,91","225,50"
2013-06,SE,"545,97","6,38",:,:,"474,96","6.621,30","3.140,21",:,:,:,"3.257,57","932,89",:,"2.246,60","6.273,67",:,"74,08",:,:,:,"46.340,74","73,71",:,:,:,:,:,"410,24"
2013-06,SI,"5.355,95","37,91",:,:,"1.139,07","956,50",:,:,:,:,:,"383,85",:,"8.064,21",:,"14,94",:,:,:,:,"0,40","71,11",:,:,"393,38",:,"66,29","47,02"
2013-06,SK,"205.017,70","0,77","230,24","98,63","8.991,51","3.887,72","0,76","193,75",:,"1.867,66","2.344,85","0,97",:,"3.033,27",:,"1.063,52","58,73","0,86","64,24",:,"39,69","13.526,40","136,33","56,25","1.064,50","3.674,59",:,"344,00"
2013-06,UK,"370,70","513,73","1.578,43","33,25","6.262,83","24.941,28","312,63","95,90","516,13","972,12","109,07","7.099,33",:,"48.176,49","17.995,61","1.040,00","14,94","22,45","2.996,43","238,63","245.691,35","13.273,61","765,72","4,60","11.241,02","140,46","1.243,29",:
2013-07,AT,:,:,"844,39","6,61","556,30","8.837,29","164,24",:,:,"26,61","1,90","193,65",:,"1.388,29","4.248,35","244,39","115,44",:,"406,34",:,"4.724,53","6.829,04","216,52","4.069,57","1.448,61","0,11","33.659,82","1.600,04"
2013-07,BE,"13,29",:,:,:,"172,96","4.788,53","219,89",:,:,"7,11","336,25","1.028,86",:,"605,79","2,21","322,73","1.513,11","35,23",:,"689,37","25.408,99","561,31",:,:,"543,66","297,56",:,"3.745,26"
2013-07,BG,"871,93",:,:,"1.157,23","1.501,09","2.800,48",:,:,"104,19","7,80",:,"242,00",:,"1.748,22",:,"34,96",:,:,"60,89",:,"2.055,25","493,47",:,"106,91",:,:,"7.657,83","176,96"
2013-07,CY,"454,15",:,:,:,"161,47","1.009,20",:,:,"5.794,05",:,:,"1,28",:,:,:,:,:,:,"128,79",:,"25,36",:,:,"68,62",:,:,:,"137,78"
2013-07,CZ,"1.802,41","1,20","187,37","59,60",:,"50.613,05","51,61","130,16","748,08","160,51","383,03","752,12","2,64","1.634,67","341,23","14,04","662,55","39,50","131,96","329,59","1.709,03","21.864,51","96,19","75,50","1.777,42","180,56","25.507,99","2.215,70"
2013-07,DE,"8.585,09","358,86","1.020,72","3.432,13","50.472,55",:,"3.436,04","4.341,24","1.192,43","863,91","3.739,33","13.143,61","6,56","8.771,20","62,58","1.458,82","3.410,73","12.224,42","1.264,68","748,60","123.762,39","40.025,17","1.489,08","7.124,84","5.446,90","7,47","8.250,26","11.442,87"
2013-07,DK,"19,81","4,06",:,:,:,"3.557,18",:,:,:,:,"0,80","17,12",:,"16,00","393,18","8,95","553,70",:,"5,52",:,"8.012,79","348,09",:,:,"42.636,84","4,41","15,73","359,99"
2013-07,EE,"230,87",:,:,:,"355,53","934,11",:,:,:,:,"627,53","0,75",:,:,"252,00","114,61","396,88",:,"3.634,68",:,"177,72","1.051,04",:,:,"1.143,97",:,:,"639,08"
2013-07,EL,"4.100,60",:,"0,48","248,63",:,"7.789,99",:,:,:,"1,94","0,80","807,79",:,"8,07",:,:,:,:,:,:,"1.025,79","1,46","8,38","3,30","0,20",:,"113,28","104,73"
2013-07,ES,"261,43","0,03","48,60",:,"37,99","4.956,15","9,96",:,"0,01",:,"6,01","1.955,00",:,"4.484,73","14.514,58","4.272,46",:,"8,60","105,80",:,"45.959,44","198,47","552,34","38,02","5.358,12","26,50","55,11","5.709,14"
2013-07,FI,"151,20","2,04",:,:,"208,85","2.376,29","14,13","340,02",:,:,:,"45,72",:,"3.230,18","3.344,20",:,:,:,"1.072,03",:,"6.052,76","1.511,07","30,33","43,19","17.635,04",:,:,"156,26"
2013-07,FR,"107,28","1.840,91","3,34",:,"0,02","21.683,90","86,31","16,46",:,"112,67","7,78",:,:,"9.554,36","1.161,42","270,24",:,"27.181,31","200,49","184,81","79.925,95","2.060,22","377,17","106,39","2.666,38",:,"0,07","4.054,30"
2013-07,HR,"870,42","0,21",:,:,"706,86","40,29","1,25",:,:,"1,13","4,75","0,06",:,"410,39",:,"13,89",:,:,:,:,"2.267,28","11,52",:,:,"158,49","1.172,36","5.780,25","6,15"
2013-07,HU,"2.484,02",:,"103,27",:,"730,33","1.624,64",:,:,:,"52,85",:,"353,54",:,:,:,"1.281,54",:,:,:,:,"5.206,90","814,23",:,"202,31","2.862,38","1.513,09","13.612,75","279,58"
2013-07,IE,"56,10",:,:,:,"837,89","2.377,55",:,:,:,"0,64",:,"692,05",:,"283,94",:,"177,04",:,:,:,"48,70","1.426,36","0,52",:,:,"116,35",:,"49,00","7.947,94"
2013-07,IT,"2.415,53","163,88","19,80",:,"1.126,13","12.487,70","36,28","147,70",:,"98,59","1,99","2.184,99","0,25","6.451,95","21,30",:,"1.754,35","63.079,93","884,67","907,73","37.361,49","1.437,97","673,75","563,34","5,37","1,40","57,85","7.084,85"
2013-07,LT,:,:,:,:,"347,77","186,83",:,"185,17",:,:,"1.841,22",:,:,:,"148,40",:,:,:,"7.524,59",:,"29,85","5.051,01",:,:,"711,83",:,:,"218,78"
2013-07,LU,"80,14","3.799,71",:,:,:,"2.163,07",:,:,"0,06","1,15","326,55","2.131,99",:,"18,51",:,"0,92","148,17",:,"137,22",:,"1.018,13","529,67","24,71","73,63",:,:,:,"398,88"
2013-07,LV,"313,83",:,"574,82",:,"339,15","295,50","0,20","0,57","32,15","7,21","701,69",:,:,:,"1.023,79","74,34","2.376,94",:,:,:,"0,46","10.289,85",:,"50,47","239,60",:,"18,95","601,12"
2013-07,MT,:,:,:,:,"52,77","101,33",:,:,:,"2,94",:,"2,56",:,:,:,"285,17",:,:,"7,06",:,:,:,"2,82","3,78",:,:,"35,37","53,11"
2013-07,NL,"452,38","1.495,24",:,"78,38","586,12","2.591,01","7,93",:,"177,36","83,26",:,"897,09",:,"346,75","32.392,35","13,30",:,"0,63","870,49",:,:,"4.376,47",:,"6,22","1.165,91",:,"72,66","3.667,31"
2013-07,PL,"14.647,95",:,:,:,"8.797,09","27.740,63","3,90",:,:,"2,18",:,"3.234,55",:,"5.123,75","0,50","960,57","0,30",:,"114,65",:,"12.937,01",:,:,"34,90","11.885,45",:,"36.333,56","1.495,10"
2013-07,PT,:,"0,62",:,:,"0,04","5.125,64","0,20",:,:,"346,45","2,82","1.422,12",:,"36,08","5.117,91","290,69","10,16","216,44",:,:,"9.348,05",:,:,:,"7,66",:,:,"444,80"
2013-07,RO,"3.891,76",:,"381,28",:,"8.450,48","4.773,78",:,:,"0,51","15,27",:,"163,85",:,"1.482,85",:,"96,91","140,60","1.260,49",:,:,"5.104,97","73,45","44,62",:,"294,79",:,"19.740,37","770,71"
2013-07,SE,"438,35","0,21",:,:,"269,19","6.466,87","2.698,05",:,:,:,"4.583,38","2,44",:,"6.084,26","10.180,57","187,41","124,42",:,:,:,"68.628,88","280,64",:,"49,28",:,:,:,"1.184,68"
2013-07,SI,"5.554,45","581,90",:,"0,26","934,11","1.409,67",:,:,:,:,:,:,"94,70","3.381,31",:,"12,96",:,:,:,:,"0,95","152,09",:,"79,22","265,52",:,"114,85","255,45"
2013-07,SK,"195.382,16",:,"480,54",:,"15.024,92","11.656,55",:,"290,90",:,"1.559,78","1.495,45","217,40",:,"1.385,06","1.001,00","303,02","698,38","91,26","37,12","56,40","7,98","11.413,03","413,05","485,35","1.403,03","655,10",:,"2.034,14"
2013-07,UK,"1.090,00","887,83","882,40","3.153,02","3.690,56","19.839,01","236,50","158,45","2.158,40","1.515,45","171,86","10.810,65","0,17","26.841,20","40.078,94","406,94","634,13","16,09","1.811,49","0,40","191.788,89","13.645,01","930,75","41,46","5.420,33",:,"837,44",:
2013-08,AT,:,:,"1.828,03","5,62","315,04","8.837,12","366,83",:,"0,18","24,05","0,72","466,29",:,"1.026,37","4.172,23","645,80",:,:,:,:,"3.988,79","6.966,80",:,"2.106,82","1.010,50",:,"32.602,18","1.006,58"
2013-08,BE,"286,91",:,:,:,"27,73","4.074,18","643,88",:,:,"2,25","166,64","664,05",:,"1.964,05","125,46","1,12","600,52","72,22","170,38","149,94","27.804,05","50,62",:,:,"79,07","125,22",:,"3.475,60"
2013-08,BG,"682,18",:,:,"4.099,95","1.202,02","2.309,00","1,49",:,"76,57",:,:,"694,26",:,"972,07","47,00","45,51",:,:,"60,20",:,"982,96","16,66",:,"107,93",:,:,"6.367,29","409,58"
2013-08,CY,"368,15",:,:,:,"177,51","876,84",:,:,"2.963,07",:,:,"0,64",:,"5,04",:,"26,05",:,:,"29,06",:,"32,82",:,"10,31","172,17",:,:,:,"197,04"
2013-08,CZ,"1.426,82","0,26","2.058,83",:,:,"10.202,24","41,53","7,80","648,67",:,:,"263,48",:,"2.102,63","541,41","23,00","4,34",:,"342,13","591,21","1.564,03","13.769,02","54,44","1.167,96","2.904,19","267,49","29.614,10","1.875,14"
2013-08,DE,"6.356,72","4.369,86","29,94","1.400,44","42.747,31",:,"4.417,30","5.675,70","640,03","636,62","309,26","9.943,52",:,"13.030,80","74,33","2.369,22","729,45","17.745,65","1.882,34","1.523,08","144.812,83","42.047,63","833,98","6.524,44","854,28","14,41","8.601,29","17.528,57"
2013-08,DK,"20,83","5,07",:,:,"35,98","7.490,61",:,"0,36",:,"0,49","0,39","13,62",:,:,"455,17","16,25","46,40",:,:,:,"6.439,76","207,87",:,:,"43.954,84",:,"22,03","241,23"
2013-08,EE,:,:,:,:,"608,85","425,54","0,23",:,:,:,"655,11","1,09",:,:,"126,00",:,"455,69",:,"2.919,20",:,"0,40","2.421,03",:,:,"1.223,20","94,80","173,80","356,95"
2013-08,EL,"2.386,18",:,:,"140,78",:,"6.170,03",:,:,:,:,"0,90","1.118,30",:,"705,39","62,30","3,30",:,:,:,:,"874,03","2,10",:,"1,70",:,:,"83,93","408,93"
2013-08,ES,"111,16",:,"124,94",:,"276,25","7.393,80","11,53","2,74",:,:,"1,95","2.478,32",:,"3.097,22","15.644,65","3.141,13",:,"9,96","197,22",:,"55.340,83","158,55","881,77","37,48","825,53","20,60","14,95","5.037,02"
2013-08,FI,"51,25","0,34",:,:,"127,61","2.715,53","19,59","397,75",:,:,:,"2,52",:,"9.365,77","3.160,90","86,54",:,:,"537,31",:,"3.779,42","1.178,35",:,:,"21.342,81",:,"53,25","288,94"
2013-08,FR,"368,47","2.245,54",:,:,"0,12","20.005,06","68,09",:,:,"229,30","66,05",:,:,"15.063,11","683,80","306,00",:,"33.849,65","384,77","99,90","72.783,25","106,97","83,47",:,"4.508,06",:,:,"5.807,08"
2013-08,HR,"2.624,51",:,:,:,"807,86","0,20","3,88",:,:,"0,00","6,16","0,00",:,"784,53",:,"2,58",:,:,:,:,"2.259,34","4,32",:,:,"292,44","946,11","5.524,63","0,00"
2013-08,HU,"2.254,67","2,08",:,:,"459,92","1.251,36",:,:,:,"1,84",:,"813,86",:,:,:,"226,12","1.272,90","1.027,89",:,:,"2.090,96","1.119,86",:,"20,70","5.139,11","1.821,21","12.438,09","215,32"
2013-08,IE,"35,40",:,:,:,"1.139,53","1.463,69",:,:,:,"2,04",:,"359,81",:,"75,57",:,"2,92",:,:,:,:,"1.033,02",:,:,:,"54,19",:,:,"11.447,19"
2013-08,IT,"1.103,39","0,06","285,50",:,"394,46","21.725,62","6,71",:,:,"973,24","1,43","3.407,74",:,"9.805,88","243,50",:,"1.014,87","40.041,44","779,95","255,60","25.974,34","3.618,99","2.385,31","560,88","2,05","256,20","112,92","9.858,03"
2013-08,LT,"127,40",:,"5,74",:,"710,24","116,36",:,"98,23",:,"283,20","2.209,92","0,30",:,"0,47","252,00",:,:,:,"10.151,69",:,"29,14","2.578,83",:,:,"1.140,02",:,:,"252,94"
2013-08,LU,"47,13","7.126,02",:,:,"7,04","1.433,66",:,:,:,"1,35","251,11","1.180,39",:,:,:,:,"295,53",:,:,:,"1.176,23","9,88","0,38",:,:,:,:,"17,81"
2013-08,LV,"229,57",:,"35,62",:,"451,96","743,39",:,"78,62",:,:,"337,93","41,59",:,:,"545,68",:,"4.386,53",:,:,:,"73,23","7.543,97",:,:,"344,60",:,"93,21","275,74"
2013-08,MT,:,:,:,:,"100,43","67,99",:,:,:,"1,50",:,"0,61",:,:,:,"451,95",:,:,"17,98",:,"94,50",:,:,"3,64",:,:,"63,84","23,54"
2013-08,NL,"171,15","916,44",:,:,"397,56","12.618,47","22,91",:,:,"333,75","0,52","1.024,97",:,"1.093,32","27.924,71","15,96","332,78","0,32","2.777,93",:,:,"2.953,79","0,00","320,37","919,14",:,:,"1.634,68"
2013-08,PL,"14.850,45","0,01","76,11",:,"5.330,73","18.254,07","273,60",:,:,"0,36",:,"3.451,66",:,"4.224,69",:,"900,73","315,01",:,"44,93","43,03","11.322,84",:,:,"98,52","3.396,89",:,"41.977,65","1.302,77"
2013-08,PT,"106,89",:,:,:,"143,82","3.599,25",:,:,:,"258,43","0,43","526,18",:,"639,72","5.649,00","317,37","5,01","602,63",:,:,"6.415,00",:,:,"7,23","1,70",:,:,"334,08"
2013-08,RO,"3.223,96",:,"342,06",:,"1.177,69","4.780,56","22,40",:,"22,14",:,:,"539,99",:,"964,57",:,"0,94","4,76","1.141,23","14,26",:,"3.253,65","29,77","7,24",:,"23,29","53,57","27.071,72","247,53"
2013-08,SE,"2,84",:,:,:,"952,69","4.566,89","3.616,55",:,:,:,"5.584,84","235,18",:,"5.982,86","5.725,25","40,79","9,56",:,:,:,"50.905,13","73,01",:,"143,34",:,:,:,"1.944,74"
2013-08,SI,"4.826,39","652,08",:,"23,53","527,63","1.277,63",:,:,:,"105,56",:,"377,66","10,53","3.860,53",:,"2,51",:,:,:,:,"0,82","0,91",:,:,"383,35",:,:,"11,54"
2013-08,SK,"259.391,61",:,"164,50",:,"17.640,90","4.556,14",:,:,:,"1.388,64","1.040,46","24,18",:,"2.674,49","1.226,70","39,49","198,05","20,00","906,29",:,"27,43","19.967,63","270,30","581,18","1.291,06","4.890,26",:,"4.701,44"
2013-08,UK,"274,15","268,20","78,99","589,35","1.951,08","16.644,10","108,57",:,"1.289,06","2.525,15","271,45","9.993,31",:,"30.939,97","37.415,90","84,55","577,83","5,53","1.048,58","344,41","186.313,06","9.627,17","681,06","424,14","5.931,41",:,"695,18",:
2013-09,AT,:,:,"906,87","1,09","958,35","8.564,62","567,76",:,:,"30,89","0,71","123,10",:,"3.689,61","437,33","616,65","388,18",:,:,:,"4.545,22","9.984,77",:,"3.682,72","1.145,96","26,21","36.471,20","1.526,51"
2013-09,BE,"42,02",:,:,:,"1,08","5.285,32","666,44","67,23",:,"38,47","19,98","859,36",:,"6.217,88","14,23","443,14",:,"49,02","122,50","28,42","27.194,46","221,16",:,"21,19","220,99",:,"42,19","3.911,91"
2013-09,BG,"737,10",:,:,:,"2.004,50","2.175,57",:,:,"19,71",:,:,"340,17",:,"518,92","86,50",:,:,:,"61,80",:,"726,80","14,55",:,"22,69",:,:,"6.899,26","576,36"
2013-09,CY,"1.227,04","155,92",:,:,"56,37","752,88","36,75",:,"4.504,15",:,:,"24,28",:,"59,39",:,"210,00",:,:,"61,18",:,"12,57","186,82",:,"142,46",:,:,"28,41","47,45"
2013-09,CZ,"2.023,86","6,13","13,92","591,78",:,"33.027,14","128,27","5,65","47,25","0,08",:,"637,32",:,"1.714,42","641,63","40,09","7,98",:,"895,86",:,"7.796,32","9.905,05","95,19","233,58","3.715,30","151,89","32.782,29","1.978,52"
2013-09,DE,"8.459,25","229,82","603,37","825,10","89.087,55",:,"9.768,53","4.301,42","855,39","847,52","178,19","28.393,34",:,"15.393,39","264,39","2.966,17","1.363,88","18.554,59","1.105,16","221,49","187.096,23","49.992,53","1.584,49","5.968,95","2.363,57","16,18","8.439,18","23.199,13"
2013-09,DK,"0,30",:,"0,68",:,"133,65","6.081,52",:,:,:,"127,59","0,78","9,10",:,"912,19","353,05","8,43","49,45",:,:,:,"5.430,35","168,19",:,:,"42.069,19",:,"2,25","297,49"
2013-09,EE,"51,15",:,:,:,"614,38","691,95","0,17",:,:,:,"731,87",:,:,:,"211,40",:,"365,99",:,"3.845,90",:,"0,14","2.538,54",:,:,"1.126,53",:,"27,76","252,34"
2013-09,EL,"7.335,74",:,:,"253,45",:,"4.314,70",:,:,:,"0,42","1,39","483,92",:,"1.413,58",:,"2,72",:,:,:,:,"987,80","5,10","13,80","6,82",:,:,"32,20","35,22"
2013-09,ES,"320,73","17,49","3,31",:,"314,97","7.620,94","7,70",:,"60,71",:,"3,12","3.880,04",:,"3.812,32","7.088,37","2.549,19",:,"2,79","140,98",:,"59.181,61","422,11","1.208,05","84,34","8.272,36","35,39","66,26","7.636,18"
2013-09,FI,"114,19","6,50","55,98",:,"35,48","2.768,82","41,38","101,69",:,:,:,"14,23",:,"8.284,08","2.859,40",:,"6,39",:,"480,44",:,"3.207,10","612,45",:,:,"18.987,78",:,"55,81","365,47"
2013-09,FR,"153,29","1.665,16","82,27",:,"84,06","26.222,47","251,45",:,"172,03","239,05","48,34",:,:,"12.933,38","2.209,11","207,73",:,"95.503,26","82,26","99,90","179.348,61","882,54","361,72","169,39","4.113,44",:,"2,47","3.525,73"
2013-09,HR,"2.709,90",:,"24,22",:,"408,09","31,06","0,00",:,:,"0,00","24,77","0,00",:,"910,62",:,"18,40",:,:,:,:,"818,31","0,00",:,:,"68,20","577,22","7.087,61","0,00"
2013-09,HU,"1.849,42","2,30",:,:,"805,58","1.695,89",:,:,:,:,"1.435,39","583,35",:,:,:,"997,68","1.196,36","603,93",:,:,"1.999,26","2.671,08",:,"8,40","1.509,27","2.149,91","11.865,67","65,80"
2013-09,IE,"41,30",:,:,:,"154,40","6.695,18",:,:,:,"4,57","0,14","585,26",:,"402,89",:,"66,29",:,:,:,:,"252,50","0,34",:,:,"310,86",:,:,"11.696,82"
2013-09,IT,"1.698,14","291,32","373,50","69,79","1.245,56","31.901,10","154,28","36,36","29,58","1.207,25","2,69","2.751,92",:,"35.066,40","5,25",:,"2.947,20","14.801,31","627,05","749,72","28.718,29","2.703,93","688,45","257,07","3,91","27,80","1.283,58","17.162,59"
2013-09,LT,"22,14",:,"150,26",:,"560,29","358,75","572,40","86,95",:,:,"1.565,49","0,52",:,:,"179,55","362,67",:,:,"9.756,14",:,"26,04","5.574,92",:,:,"345,68",:,:,"229,34"
2013-09,LU,"10,41","5.327,70",:,:,:,"1.214,84",:,:,:,"0,68","276,33","2.215,25",:,:,"0,33","0,17",:,:,"58,48",:,"1.658,95","242,16","5,12",:,:,:,"16,41","4,65"
2013-09,LV,"608,63",:,"1,10",:,"387,59","179,00","0,22","65,90",:,:,"640,07","3,05",:,"15,91","93,48",:,"3.692,82",:,:,:,"0,62","7.767,49",:,:,"187,53","139,44",:,"749,01"
2013-09,MT,"64,40",:,:,:,"101,37","31,11",:,:,:,:,:,"1,53",:,:,:,"606,77",:,:,:,:,:,"3,45",:,"10,44",:,:,"15,53","93,68"
