PERIOD,PARTNER,AT,BE,BG,CY,CZ,DE,DK,EE,EL,ES,FI,FR,HR,HU,IE,IT,LT,LU,LV,MT,NL,PL,PT,RO,SE,SI,SK,UK
2007-02,LT,:,:,:,:,"3,00","3.921,26","18,28","9,77",:,"20,82","2.912,97","61,55",:,"1.304,59",:,:,:,"45,64","137,90",:,"0,21","52,19","7,06",:,"1.339,56",:,"0,11","82,88"
2007-02,LU,:,"1.498,01","22,82",:,:,"5.688,07","19,24",:,:,:,"3.248,24","1.763,46",:,"35,89","1,78",:,:,:,:,:,"1.294,35",:,"144,51",:,:,:,:,"85,91"
2007-02,LV,:,"0,20",:,:,"148,97","2.140,30","7,91","912,57",:,:,"511,45","1,61",:,"440,59",:,:,"1.311,47",:,:,:,"16,80","1,29",:,:,"990,69",:,"5,29","92,67"
2007-02,MT,:,"0,11",:,:,:,"40,93","5,94",:,:,:,"69,87","80,45",:,"31,64",:,"50,78",:,"21,56",:,:,"3,53",:,:,:,:,:,:,"0,88"
2007-02,NL,:,"2.375,24",:,:,"92,94","10.331,96","2.316,69",:,"2,93","270,69","7.530,84","3.079,79",:,"4.541,82","711,66","215,63","4,32","3.386,79",:,:,:,"361,00","389,60","59,00","5,52","7,18","5,97","479,11"
2007-02,PL,:,:,:,:,"1.701,67","6.275,88","337,96",:,:,"42,76","8.530,38","3.332,94",:,"15.036,70","12,08","0,28",:,"72,76",:,:,"112,59",:,"45,69",:,:,:,"374,57","55,66"
2007-02,PT,:,:,:,:,:,"8.712,74","3.558,28",:,:,"348,39","8.251,36","1.685,79",:,"6.132,81","1,29","27,05",:,"59,23",:,:,"1.480,38",:,:,:,"0,04",:,:,"30,86"
2007-02,RO,:,"280,18","5,49",:,"94,34","3.250,41","105,62",:,"51,80","61,11","3.737,49","1.387,92",:,"5.988,69",:,"658,18",:,"10,32",:,:,"189,30",:,:,:,:,:,"44,50","138,20"
2007-02,SE,:,"18,68",:,:,"170,82","1.599,85","704,83",:,:,"0,46","2.831,04","590,70",:,"2.344,82","45,36",:,:,"112,00",:,:,"174,94","0,12",:,:,:,:,:,"150,96"
2007-02,SI,:,:,:,:,:,"3.095,64","74,40",:,:,:,"601,91","7,36",:,"259,72",:,"0,33",:,"18,65",:,:,"4,59",:,:,:,:,:,:,"4,39"
