PERIOD,PARTNER,AT,BE,BG,CY,CZ,DE,DK,EE,EL,ES,FI,FR,HR,HU,IE,IT,LT,LU,LV,MT,NL,PL,PT,RO,SE,SI,SK,UK
2013-02,DK,:,"0,03",:,:,"54,29","6.362,99",:,:,:,"0,41",:,"7,03",:,"369,04","399,65","0,05","23,10",:,:,:,"6.589,70","214,89","31,67","36,71","43.267,64",:,"17,52","470,23"
2013-02,EE,"320,17",:,:,:,"225,74","641,96","0,51",:,:,"26,27","128,61","0,52",:,:,:,"6,40","151,32",:,"4.185,32",:,"9,22","3.417,72",:,:,"690,28",:,"125,22","757,63"
2013-02,EL,"2.927,05",:,"0,43","614,67","3,28","4.690,06","46,52",:,:,"2,44",:,"420,22",:,"229,60",:,"1,66",:,"3.527,47",:,:,"619,91","15,04",:,"5,37","0,74",:,"115,55","506,39"
2013-02,ES,"242,83","137,25","18,86",:,"324,56","8.207,21","43,40",:,:,:,"0,99","1.421,32",:,"8.944,49","6,00","10.363,66",:,"1.809,29","559,73",:,"65.276,01","572,06","443,25","122,46","31,71",:,"36,35","1.569,66"
2013-02,FI,"33,57","106,57",:,:,"501,22","6.962,62","31,50","33,23",:,"1,25",:,"192,19",:,"5.739,39",:,"21,10","139,96",:,"340,10",:,"12.095,93","336,92",:,:,"7.827,46",:,"44,14","207,65"
2013-02,FR,"600,59","1.582,02","161,55",:,"254,25","9.428,19","152,80",:,:,"478,28","48,42",:,:,"23.483,12","4,13","50,12",:,"15.596,43","39,75",:,"74.085,49","1.427,40","747,65","61,44","186,41",:,"65,39","7.119,07"
2013-02,HR,"30,46","1,53","3,63",:,"1.271,80","34,12",:,:,:,:,"0,77",:,:,"1.094,58",:,"2,27",:,:,:,:,"0,48","2,17",:,:,"1,58","1.024,87","4.157,59","4,85"
2013-02,HU,"6.289,63",:,:,:,"854,00","2.209,62","596,28",:,"25,74","0,01",:,"717,20",:,:,:,:,:,"84,59","75,78",:,"3.579,86","395,16","205,96","595,33","1.058,38","3.774,68","11.559,69","2.364,70"
2013-02,IE,:,:,:,:,"218,08","361,42","2,23",:,:,"0,89","0,91","76,95",:,"1.182,47",:,"0,39",:,:,"181,00",:,"7.746,10","185,84","3,40",:,"0,69",:,"4,40","16.566,24"
2013-02,IT,"1.438,34","111,02","25,20",:,"1.125,47","14.109,58","87,49",:,:,"125,10","3,60","2.710,24",:,"16.501,71",:,:,"0,40","17.858,57","878,93","121,60","36.652,80","3.182,71","390,52","765,52","27,99","158,96","838,28","2.202,45"
2013-02,LT,"22,95",:,:,:,"830,57","248,10",:,"2.193,87","39,42",:,"58,08",:,:,"0,15",:,"13,20",:,:,"8.772,95",:,"117,72","1.449,77",:,"10,86","4.750,42",:,"144,28","179,35"
2013-02,LU,:,"1.521,15",:,:,:,"1.121,20",:,:,"5,36","1,27",:,"2.047,03",:,"140,51",:,"0,12",:,:,"505,75",:,"4.243,49","218,30","159,30",:,"88,19",:,:,"141,74"
2013-02,LV,"904,90",:,"192,10",:,"1.312,74","1.071,42",:,"41,81","21,93",:,"33,69","49,25",:,"0,24",:,"1,30","2.403,32",:,:,:,"899,46","10.021,09","30,59","378,44","515,54",:,"450,54","2.117,88"
2013-02,MT,"27,20",:,:,:,"85,74","20,96",:,:,:,"0,03",:,"308,06",:,:,:,"131,71",:,:,"26,73",:,"143,16","366,67",:,"168,94",:,:,"4,60","37,19"
2013-02,NL,"939,09","1.052,94",:,:,"3.560,90","34.125,50","239,90",:,"26,25","1,51","5,36","2.927,66",:,"3.970,42","5,03","927,19",:,"210,07","436,31",:,:,"4.315,46","135,35","190,45","68,48",:,"1.560,41","2.462,18"
2013-02,PL,"20.264,02","2.667,40","36,04",:,"9.115,57","18.581,39","5,87",:,:,"0,41","13,31","1.558,25",:,"6.858,72","169,15","894,15","36,60",:,"498,31","29,27","4.838,95",:,:,"35,14","70,94",:,"48.352,16","18.169,57"
2013-02,PT,"61,87","0,01",:,:,"175,06","3.332,50","8,14",:,:,"136,46",:,"2.488,22",:,"1.061,78",:,"1.370,82",:,:,"189,77",:,"11.563,36",:,:,"0,19","0,56",:,"3,89","191,16"
2013-02,RO,"1.681,63",:,"1.806,99",:,"8.495,23","3.322,43","4,09",:,"83,29","12,46",:,"303,95",:,"829,14",:,"748,18",:,"282,35","46,01",:,"2.370,16","15,97","6,45",:,:,:,"29.930,93","210,32"
2013-02,SE,:,"7,66",:,:,"458,84","3.627,03","1.038,07","87,59",:,"0,07","2.270,75","305,54",:,"2.810,32",:,"0,20",:,:,:,:,"38.326,38","335,97","0,25",:,:,:,:,"181,14"
2013-02,SI,"5.711,24",:,:,:,"801,98","1.359,09",:,:,"13,57",:,:,"22,32",:,"416,50",:,"2,88",:,:,:,:,"321,93","5,51",:,"7,33",:,:,"7.752,84","255,75"
2013-02,SK,"174.406,30","258,37",:,:,"16.609,17","5.163,48",:,:,:,:,"47,16","0,76",:,"2.912,38",:,"274,15","6,75","0,98","20,66",:,"9.074,88","7.228,94",:,"191,19","1,23","410,89",:,"136,67"
2013-02,UK,"1.418,32","179,13","158,99",:,"4.748,93","16.652,63","6.959,92","51,15","1.209,99","95,25","0,34","6.116,36",:,"80.312,55","2.281,21","705,97",:,"1.484,43","2.467,95","17,72","209.715,01","15.386,93","994,51","87,37","1.263,61",:,"206,40",:
2013-03,AT,:,"0,52","606,65",:,"1.130,91","12.180,54","137,45",:,:,"10,82",:,"163,01",:,"3.420,99",:,"168,95",:,:,:,:,"10.343,60","6.020,51","7,11","1.728,76","1,15","93,70","21.100,79","201,15"
2013-03,BE,"152,70",:,:,:,"971,75","4.762,28","70,26",:,"69,66","8,79","1,17","827,77",:,"3.717,01",:,"14,29",:,"2.750,59","55,40",:,"25.548,46","604,98",:,:,"38,22",:,"103,00","1.495,23"
2013-03,BG,"1.364,09",:,:,:,"405,75","2.443,20","29,26",:,"70,90",:,:,"340,88",:,"773,63",:,"77,37","355,81",:,"55,92",:,"2.224,19","333,22",:,"249,35",:,"7,95","7.906,58","234,83"
2013-03,CY,"3.443,24",:,:,:,"625,10","4.308,30",:,:,"5.239,47","12,50",:,"104,08",:,"327,56","361,44","382,25",:,"555,74","892,78",:,"21,20","1.238,01","70,47",:,:,:,"117,19","6.121,13"
2013-03,CZ,"3.191,82","120,21","61,32",:,:,"84.072,60","807,59","113,14","284,40",:,:,"216,95",:,"1.056,44","51,03","296,52",:,"64,66","2.665,88",:,"457,00","34.389,34","39,56","324,31","855,72","22,43","46.559,81","2.429,99"
2013-03,DE,"10.558,61","358,14","864,60","2.335,30","39.933,76",:,"2.433,13","799,81","197,56","221,37","20,61","7.973,99",:,"22.473,57","315,51","1.234,83","320,41","1.545,16","93,81",:,"142.383,99","30.476,87","761,79","1.454,37","333,20","7,58","9.590,37","10.028,89"
2013-03,DK,"11,71","0,80",:,:,"27,99","3.713,20",:,"9,52","39,01",:,"1,62","0,02",:,"278,95","78,00","0,06",:,:,"43,17",:,"6.081,14","15,45",:,"25,88","38.475,37",:,"107,32","226,44"
2013-03,EE,"397,14",:,:,:,"496,22","852,99","32,95",:,:,:,"69,08",:,:,:,:,:,"198,72",:,"3.591,93",:,"56,15","4.491,40","54,93",:,"1.700,46",:,"584,52","417,08"
2013-03,EL,"2.418,95",:,:,"833,21","0,90","5.322,65",:,:,:,"10,50",:,"1.239,83",:,"1.027,76",:,"1,27",:,"1.958,42","46,30",:,"1.706,17","8,54",:,"1,26","5,07",:,"46,83","326,23"
2013-03,ES,"195,28","26,60","69,28",:,"407,33","10.255,17","40,36",:,"26,10",:,"13,94","1.901,59",:,"3.300,40","1,75","7.692,48","8,68","2.258,04","90,45",:,"66.270,84","826,91","359,61","299,89","61,71","56,70","37,99","3.295,16"
2013-03,FI,"129,50","123,96",:,:,"32,24","1.264,60","71,41","180,44",:,"0,22",:,"121,46",:,"10.486,18",:,"144,07","279,37",:,"588,85",:,"2.273,87","192,30",:,"52,78","11.438,24",:,"79,59","1.419,41"
2013-03,FR,"118,26","979,45","9,45",:,"12,29","24.116,79","12,56",:,:,"384,42","18,90",:,:,"11.646,20","3,87","336,88",:,"21.711,88","199,47",:,"63.560,60","1.006,07","194,59","49,50","174,86",:,"18,18","2.659,19"
2013-03,HR,"142,41",:,"6,98",:,"522,45","54,31",:,:,:,"1,14",:,:,:,"1.731,74",:,:,:,:,:,:,:,"11,84",:,:,"1,76","864,47","4.176,35","224,71"
2013-03,HU,"4.705,10",:,:,:,"735,39","2.851,87","2,97","2,58","25,90",:,:,"1.388,19",:,:,:,:,"50,51","48,58",:,:,"1.269,26","1.833,22","189,06","3.714,13","503,91","1.198,21","12.052,44","2.597,85"
2013-03,IE,:,"12,38",:,:,"446,80","922,73","1,70",:,"4,49","3,60",:,"71,25",:,"739,99",:,"1,10","994,10",:,:,:,"8.663,41","223,55","5,62",:,"0,56",:,:,"16.652,91"
2013-03,IT,"3.546,10",:,:,:,"316,18","18.106,76","16,60",:,:,"191,04","16,48","7.101,82",:,"14.459,80",:,:,"0,32","23.729,85","229,83","159,29","19.035,61","3.310,63","550,94","188,89","16,30","641,30","261,54","3.799,39"
2013-03,LT,"198,78",:,"6,09",:,"222,59","1.277,99",:,"1.957,36",:,:,:,:,:,:,:,"0,08",:,:,"7.271,65",:,"1.061,47","4.569,45",:,:,"3.517,39","48,55","177,62","193,99"
2013-03,LU,"0,83","838,24",:,:,:,"1.144,40","2,89",:,"12,92","0,93",:,"2.308,14",:,"292,55",:,"1,15",:,:,"359,85",:,"6.664,63","0,00","9,36",:,"4,31",:,:,"3,39"
2013-03,LV,"380,54",:,"4,20",:,"1.416,29","3.104,11","1,16","213,26","14,99",:,"11,29",:,:,"0,95",:,"1.400,72","3.326,30",:,:,:,"847,02","13.943,77","7,86","727,17","378,03",:,"808,96","2.521,76"
2013-03,MT,"4,33",:,:,:,"62,81","352,17",:,:,:,:,:,"374,64",:,:,:,"293,12",:,:,"18,68",:,"0,10","384,71",:,"5,20",:,"39,50","9,94","151,72"
2013-03,NL,"2.334,99","903,31",:,:,"2.640,50","36.010,14","102,75","279,79",:,"78,81","17,30","10.564,57",:,"7.812,08","687,24","1.477,19",:,"20,15","462,07",:,:,"4.861,39","71,52","318,77","100,06",:,"210,64","5.268,08"
2013-03,PL,"14.428,97","4.306,02",:,:,"4.917,68","33.622,01","45,88",:,:,"12,75","4,72","2.542,09",:,"3.156,94","36,44","817,39","41,63",:,"1.616,24","1,05","4.967,81",:,"101,71","1.411,37","163,45",:,"50.676,08","27.770,81"
2013-03,PT,"27,56","0,03",:,:,"71,31","3.643,82","3,11",:,:,"187,42","0,55","3.334,24",:,"1.301,16","117,54","410,77",:,:,"667,91",:,"5.601,26",:,:,"26,09","2,69","132,66","59,89","449,26"
2013-03,RO,"2.571,30","0,01","262,06",:,"5.819,46","4.302,74","0,91",:,:,"15,47",:,"156,63",:,"1.080,95","0,23","44,09",:,"108,83","235,23",:,"1.059,22","13,75","39,47",:,:,:,"25.949,27","143,87"
2013-03,SE,"27,29","11,83",:,:,"1.024,64","2.486,59","3.014,96","33,66",:,"52,50","2.265,22","7,89",:,"4.979,21",:,"0,25",:,:,:,:,"20.882,40","458,37",:,"10,31",:,:,"26,92","385,28"
2013-03,SI,"6.437,09","644,38",:,:,"639,96","1.217,82",:,:,"11,19",:,"43,33","103,45",:,"447,79",:,"2,69",:,:,:,:,"2.066,39","285,00",:,"8,34","1,47",:,"9.422,16","29,23"
2013-03,SK,"225.140,46",:,"0,76",:,"11.908,81","4.802,92",:,"73,40","9,78",:,:,"2,21",:,"4.775,35",:,"8,16","30,62",:,"286,17",:,"4.022,88","4.824,57","56,47","385,50","0,92","691,15",:,"153,55"
2013-03,UK,"1.150,98","11,84","489,01",:,"1.115,96","10.980,85","261,20","44,20","1.111,36","516,15","4,00","8.859,57",:,"28.346,82","2.451,62","1.441,72","497,05",:,"1.048,80","4,94","186.879,47","10.863,10","1.168,15","126,00","646,25",:,"1.314,19",:
2013-04,AT,:,"2,30","1.163,33",:,"3.587,79","25.156,26","42,04",:,"73,53","22,30","2,27","482,99",:,"887,19",:,"449,60",:,:,"3,54",:,"8.199,27","14.162,42","31,33","2.093,52","2,38","267,96","20.505,69","460,52"
2013-04,BE,"297,63",:,:,:,"452,77","5.287,74","17,37",:,"129,85","67,33","1,29","989,76",:,"2.613,62","0,19","144,67",:,"1.847,24","149,57",:,"38.512,50","1.086,81",:,"15,98","55,94",:,"61,31","2.595,32"
2013-04,BG,"1.581,69",:,:,"206,72","1.497,81","5.196,39","17,02","248,03",:,"3,56",:,"147,46",:,"1.142,13",:,"13,38",:,:,"384,81",:,"1.354,60","2.822,28",:,"830,85","0,37",:,"10.151,60","769,96"
2013-04,CY,"1.349,75",:,:,:,"531,45","1.251,79","0,90",:,"2.039,45","0,32",:,"275,86",:,"623,00","890,00","36,91",:,"1.250,70","1.739,96",:,"166,55","3.387,29","957,08","24,49",:,"19,32","65,32","8.619,07"
2013-04,CZ,"3.436,44","2,02","2,86",:,:,"14.313,75","2,79","1,94","780,01",:,:,"470,53",:,"506,00",:,"1.438,04","33,57","457,94","1.136,10",:,"2.405,66","29.424,70",:,"13,30","346,44","41,66","38.283,78","4.154,98"
2013-04,DE,"10.881,03","161,76","825,03","855,00","71.893,06",:,"2.381,92","732,72","1.028,71","402,21","32,55","15.390,06",:,"20.762,65","414,57","2.043,44","177,45","1.037,60","285,30",:,"244.296,17","33.692,65","413,69","3.163,79","294,86","0,14","8.468,33","6.905,17"
2013-04,DK,:,"14,65",:,:,"178,18","2.892,64",:,:,"9,85","26,40",:,"19,75",:,"80,30","532,15",:,:,:,"73,48",:,"12.634,88","760,85",:,"56,67","44.259,56",:,"104,19","183,76"
2013-04,EE,"269,18",:,"20,75",:,"283,60","584,45","2,09",:,:,:,"35,61",:,:,"0,10",:,"184,58","146,93",:,"3.060,38",:,"225,48","5.633,48","11,81",:,"1.117,98",:,"5,27","460,31"
2013-04,EL,"2.521,33",:,"3,03","236,34","397,89","9.127,02",:,:,:,"0,92","0,27","1.249,70",:,"137,19",:,"5,14",:,:,:,:,"191,08","491,87",:,"8,80","0,98","30,55","281,68","242,16"
2013-04,ES,"400,29","71,11","1,93","41,31","277,90","6.540,68","148,35",:,"198,75",:,"0,06","2.787,79",:,"3.532,67",:,"14.035,88",:,"3.109,95","254,68",:,"59.899,39","1.894,26","262,64","60,04","107,30","33,75","56,63","2.330,51"
2013-04,FI,"112,73","153,53",:,:,"309,91","837,50","30,38","290,63",:,"1,14",:,"239,95",:,"6.386,26","13,28","0,05","145,78",:,"407,09",:,"5.178,13","264,38",:,:,"13.658,46",:,"0,42","1.424,61"
2013-04,FR,"143,85","4.201,44",:,:,"66,45","14.318,04","57,53","1,19",:,"247,75","41,55",:,:,"6.303,76",:,"376,46","24,79","23.143,81","63,52",:,"180.816,65","1.669,81","32,59","53,56","183,95",:,"31,87","3.834,18"
2013-04,HR,"24,17",:,:,:,"936,16","14,37",:,:,:,:,"0,31",:,:,"3.099,04",:,:,:,:,:,:,:,"0,10",:,:,"3,30","1.134,50","5.433,41","1,42"
2013-04,HU,"1.942,09",:,"18,50",:,"686,39","1.654,36","8,86",:,"6,27","98,15",:,"2.072,07",:,:,:,"0,05","125,05","730,62","155,89",:,"1.739,33","451,91","0,92","5.074,49","8,64","1.198,26","13.705,23","1.981,77"
2013-04,IE,:,:,:,:,"311,93","1.077,92",:,:,:,"0,74",:,"30,95",:,"448,65",:,"153,09","1.061,59",:,"514,88",:,"7.713,43","338,69",:,"10,75",:,:,:,"30.011,44"
2013-04,IT,"1.821,56","0,24",:,:,"319,30","17.885,89","75,34",:,"267,85","48,33","7,07","7.446,85",:,"17.200,38","1,88",:,"461,38","33.106,98","367,55",:,"14.179,33","4.553,59","215,66","633,04","5,75","90,80","543,84","8.314,76"
2013-04,LT,"212,32","54,35",:,:,"142,88","142,23",:,"2.218,80",:,:,"91,78",:,:,"234,84",:,"5,48",:,:,"8.387,75",:,"410,33","1.806,53",:,"5,92","1.996,34",:,"164,55","115,16"
2013-04,LU,"8,17","1.144,12",:,:,:,"2.011,91",:,:,:,"45,63",:,"1.547,79",:,"97,04",:,:,:,:,"415,79",:,"3.037,94","153,47",:,:,"11,74",:,"39,00","23,47"
2013-04,LV,"391,50","210,46","87,42",:,"706,45","3.960,36","0,36","180,04",:,:,"39,54",:,:,"0,10",:,"181,23","3.517,67",:,:,:,"850,58","15.430,45",:,"285,48","1.027,38",:,"71,12","6.054,83"
2013-04,MT,:,:,:,"8,60","120,72","1.345,32",:,:,:,"0,18",:,"69,06",:,:,"0,56","463,83",:,"101,20","72,07",:,:,"692,34",:,"6,75",:,:,"18,40","33,92"
2013-04,NL,"1.951,24","2.221,13",:,"162,40","2.671,07","41.793,65","80,09",:,"606,62","285,32","25,91","3.490,11",:,"5.577,23","290,37","530,83",:,"120,87","171,84",:,:,"2.648,04","13,42","328,02","90,36",:,"846,36","4.101,20"
2013-04,PL,"21.058,08","6.190,64",:,:,"8.268,51","28.593,20","14,27",:,:,"24,73","9,01","1.746,94",:,"2.736,20","141,41","5.339,81","66,38",:,"775,83","23,17","3.354,67",:,"28,48","665,13","50,79",:,"37.325,77","26.427,65"
2013-04,PT,:,"37,70",:,:,"123,94","4.619,71","7,68",:,"33,04","313,08",:,"1.884,11",:,"1.224,48",:,"436,19",:,:,"6,00",:,"15.049,15",:,:,"87,83","1,77",:,"53,81","313,11"
2013-04,RO,"2.731,64",:,"111,13",:,"4.573,43","3.285,26","4,25",:,"0,00","5,65","0,50","481,40",:,"730,05",:,"34,39",:,"159,39","199,50",:,"2.521,09","7,96","280,68",:,"3,54","35,45","14.794,45","176,96"
2013-04,SE,"256,15","140,01",:,:,"255,94","2.061,26","1.406,69","96,38",:,"1,08","3.285,24","55,96",:,"4.710,59",:,"106,14",:,:,:,:,"60.103,58","53,85","0,81",:,:,:,"12,90","219,94"
2013-04,SI,"6.359,27","0,32",:,:,"445,15","1.645,49",:,:,:,:,:,:,:,"594,26",:,"11,24",:,:,:,:,"1.154,10","10,82",:,:,:,:,"6.907,10","23,77"
2013-04,SK,"167.154,84",:,"239,50",:,"8.802,89","4.781,59","0,54",:,:,:,"181,17","0,09",:,"2.612,40",:,"173,54",:,:,"260,97",:,"2.510,83","3.787,63","14,20","124,52","1,78","564,55",:,"493,96"
2013-04,UK,"1.415,25","21,46","99,00",:,"3.623,54","23.453,66","68,19","200,50","1.381,31","133,46","12,20","12.102,67",:,"32.818,46","2.846,46","224,07",:,"287,31","1.548,20",:,"233.652,60","19.833,17","984,72","56,54","313,78","144,76","156,62",:
2013-05,AT,:,"0,05","583,92",:,"691,75","12.256,82","170,94",:,:,"18,61","0,30","305,23",:,"2.387,88",:,"884,02","76,12","361,05","284,83",:,"9.183,01","7.599,16","23,78","2.101,56","410,90",:,"32.525,19","257,71"
2013-05,BE,"3,84",:,:,:,"186,64","5.047,15","58,20","7,23","80,75","9,97",:,"1.381,35",:,"2.816,68","13,41","36,00",:,"2.141,84",:,:,"43.558,36","818,89",:,"13,24","65,44",:,"76,11","1.824,19"
2013-05,BG,"1.144,24","0,03",:,"266,32","1.785,80","8.078,13",:,"34,40",:,:,:,"1.039,08",:,"989,24","38,91","3,73",:,:,"181,08",:,"1.237,49","2.594,32",:,"778,12","0,59","473,67","10.919,25","267,01"
2013-05,CY,"2.594,64","91,07",:,:,"1.902,10","2.101,93",:,"231,09","4.187,95","0,06",:,"167,10",:,"117,62",:,"358,71",:,"2.125,41","972,67",:,"99,03","2.613,70","124,90","28,94",:,:,"48,16","25.042,05"
2013-05,CZ,"2.082,53","1.283,47","5,55",:,:,"18.156,59","1,53","0,71","443,12","0,82","4,10","1.002,24",:,"1.182,83",:,"864,55","34,38","1.140,25","1.247,38",:,"549,02","32.059,65",:,"14,30","257,76","221,47","40.954,61","5.690,57"
2013-05,DE,"9.441,30","559,58",:,"1.518,55","28.800,44",:,"4.472,19","233,87","1.627,68","378,50","35,33","12.220,41",:,"26.409,35","113,94","928,83","304,56","457,15","285,86",:,"162.410,24","31.212,47","522,34","5.906,98","258,78","59,43","3.680,74","11.547,33"
2013-05,DK,"36,52",:,:,:,"51,23","3.584,45",:,:,:,"0,02","1,00","4,84",:,"36,35",:,"2,44",:,:,:,:,"13.314,45","46,75","83,78","56,08","59.777,88",:,"81,77","537,75"
2013-05,EE,"21,65",:,:,:,"547,71","299,31","0,50",:,:,:,"89,81","0,51",:,"0,11",:,"3,45","208,69",:,"3.405,66",:,"135,63","3.001,90",:,:,"757,44",:,"0,18","676,41"
2013-05,EL,"2.605,33",:,"48,50","750,31","0,66","10.207,97",:,:,:,"1,41","7,52","1.881,41",:,"595,36",:,"5,71",:,:,"44,63",:,"410,77","0,53","7,07","10,40","0,70","45,10","700,88","315,27"
2013-05,ES,"1.091,37","461,40","378,21",:,"180,15","14.431,97","47,56","3,87",:,:,:,"4.308,48",:,"6.984,13","22,47","5.913,44","16,15","1.147,72","155,31",:,"77.634,71","2.163,76","771,47","116,98","49,00",:,"144,95","1.620,95"
2013-05,FI,"55,15","0,52",:,:,"420,76","1.451,07","49,03","24,61",:,"2,01",:,"0,08",:,"5.584,66",:,"1,81","186,74",:,"1.062,39",:,"7.245,58","127,76",:,:,"22.475,80",:,"78,02","273,12"
2013-05,FR,"265,82","1.338,54",:,:,"58,82","21.229,57","38,46","0,41",:,"369,92","30,86",:,:,"11.117,53","1,12","511,12","13,27","32.035,76","51,73",:,"84.463,46","3.576,74","126,17","341,93","123,52","98,35","33,29","3.091,54"
2013-05,HR,"17,19",:,:,:,"2.162,55","9,46","2,70",:,:,:,"0,60",:,:,"891,82",:,:,:,:,:,:,"1,84","0,02",:,:,"0,69","655,62","4.010,55","4,80"
2013-05,HU,"3.490,05",:,:,:,"1.341,32","1.824,87","4,10",:,"33,83",:,"0,05","2.173,11",:,:,:,"0,71","187,63","148,74","174,93",:,"2.280,97","386,30","32,45","4.516,63","5,22","871,55","10.558,27","6.326,52"
2013-05,IE,:,:,:,:,"53,77","1.278,72","1,12",:,"11,53","1,50",:,"920,06",:,"1.605,81",:,"28,37","220,07",:,:,:,"3.383,72","292,64","1,44","50,78","0,94",:,"6,23","54.668,62"
2013-05,IT,"2.438,59","61,40",:,:,"592,19","23.783,24","25,23","18,01",:,"94,81","6,37","8.304,53",:,"17.219,45","60,76",:,"322,92","46.408,33","474,02","35,20","27.386,00","3.376,53","168,45","236,03","28,41","23,30","1.036,36","4.969,83"
2013-05,LT,"438,86","10,15",:,:,"621,00","1.721,21",:,"2.074,21",:,:,"30,07",:,:,"0,21",:,"145,65",:,:,"8.089,32",:,"22,66","1.626,82",:,:,"1.953,66",:,"2,84","685,96"
2013-05,LU,"29,89","1.924,10",:,:,:,"2.165,85","0,18",:,"12,55","83,47","49,27","638,10",:,"87,12",:,"1,02",:,:,"790,57",:,"5.095,92","188,18","6,70",:,"17,23",:,:,"15,14"
2013-05,LV,"561,05",:,"54,68",:,"1.736,53","1.387,44","0,36","114,58",:,:,"12,90","403,17",:,"39,76",:,:,"2.849,15",:,:,:,"459,18","15.589,31",:,"77,65","525,33",:,"259,83","262,48"
2013-05,MT,"130,54",:,:,"4,47","808,72","16,25",:,:,:,"1,27",:,"53,16",:,:,:,"689,89",:,:,"37,21",:,"280,67","641,38",:,"46,15",:,:,"17,69","25,70"
2013-05,NL,"1.752,05","4.188,26",:,"70,35","832,15","41.907,21","103,20","98,60","784,52","231,49","286,04","1.112,69",:,"4.084,09","727,47","326,46","179,55","286,66","467,65",:,:,"3.772,88",:,"44,47","102,72","8,10","22,59","4.579,34"
2013-05,PL,"19.587,03","5.703,04","224,55",:,"9.403,31","19.029,38","16,61","132,19",:,:,:,"7.064,51",:,"3.590,46","1,22","2.771,25","68,59",:,"1.446,23",:,"15.118,13",:,"6,93","4,30","88,88","19,61","43.626,51","19.780,53"
2013-05,PT,"96,43","26,10",:,:,"386,65","5.543,85","51,34",:,:,"346,43","1,00","2.799,64",:,"2.529,80",:,"495,80",:,:,"213,03",:,"19.924,09",:,:,:,"0,11","361,27","879,24","669,37"
2013-05,RO,"3.007,23",:,"52,13",:,"6.350,05","4.294,89","4,10",:,"0,58",:,:,"494,58",:,"1.274,25",:,"67,06","99,60","837,83","33,93",:,"3.468,86","5,50","351,61",:,:,:,"16.044,63","458,22"
2013-05,SE,"35,60","15,15",:,:,"402,85","5.541,56","1.266,53","33,52",:,"0,94","2.636,36","1.268,95",:,"2.881,26",:,"0,05",:,:,"5,62",:,"83.044,57","212,56",:,:,:,:,:,"1.010,08"
2013-05,SI,"5.367,93","1,05",:,:,"1.401,88","2.892,10",:,:,:,:,:,"192,82",:,"70,96",:,"15,66",:,:,:,:,"298,37","5,46",:,"4,58","2,48",:,"7.738,99","37,28"
2013-05,SK,"190.634,24","529,35",:,:,"10.730,53","3.314,75",:,:,:,:,"123,20","152,64",:,"4.739,65",:,"180,36","212,59",:,"144,59",:,"3.633,60","1.619,76",:,"208,29",:,"933,15",:,"1.376,89"
2013-05,UK,"1.990,27","459,47","258,85",:,"5.763,93","22.993,75","420,28","33,97","641,37","388,77","3,01","7.578,36",:,"83.753,89","577,01","945,95","336,47","476,58","1.058,43",:,"229.965,74","24.597,29","1.587,86","157,04","71,66",:,"3.060,12",:
2013-06,AT,:,"2,81","919,76",:,"603,17","22.770,97","131,97",:,:,"53,55","0,81","318,77",:,"606,58",:,"319,78","208,87","0,74",:,:,"7.461,11","13.625,86","439,13","3.284,14","80,30",:,"20.502,80","158,85"
2013-06,BE,"7,16",:,"116,46",:,:,"6.154,02","82,87","129,03",:,"8,03",:,"964,35",:,"2.255,59","6,77","13,19",:,"2.946,11","13,34",:,"30.140,41","765,19",:,"29,38","60,06",:,"744,98","2.319,35"
2013-06,BG,"1.371,05",:,:,"71,90","3.082,11","13.467,36",:,:,"0,38",:,:,"52,39",:,"826,74","457,80","3.775,78",:,:,"60,81",:,"1.709,13","904,86",:,"943,16",:,:,"7.986,18","481,68"
2013-06,CY,"5.102,28","45,29","630,21",:,"1.384,30","4.340,02","0,18","330,24","7.490,51","0,74",:,"740,66",:,"23,59","281,60","209,09",:,"3.855,89","1.310,19",:,"65,45","1.574,71","552,60","41,13","0,52","107,25","47,30","10.615,27"
2013-06,CZ,"2.603,02","693,25","111,22","369,26",:,"20.404,58","1,28",:,:,"0,02","397,49","1.019,28",:,"603,42","0,47","1.706,27",:,"524,11","1.469,04",:,"2.008,35","35.239,97",:,"26,33","252,90","0,83","33.033,26","13.047,73"
2013-06,DE,"10.665,04","652,31","504,27","2.528,92","12.952,63",:,"2.244,72","95,49","2.732,28","707,90","5,82","10.891,26",:,"18.767,19","491,17","1.267,83","210,21","1.091,62","735,65",:,"116.973,00","42.453,21","774,05","1.654,80","269,06","737,06","6.541,73","11.047,13"
2013-06,DK,"108,75","287,56",:,:,"49,93","3.638,93",:,:,:,"0,53","3,78","4,74",:,"167,77",:,"5,52",:,"0,77","101,18",:,"9.824,26","235,70",:,"14,39","43.808,39",:,"42,64","565,61"
2013-06,EE,"155,57","0,02",:,:,"700,10","299,06",:,:,:,:,"75,66","1,73",:,:,:,:,"219,97",:,"2.756,47",:,"135,38","3.972,70","67,76","0,26","1.215,67",:,"8,67","290,30"
2013-06,EL,"3.383,89",:,"79,86","260,33","16,53","11.115,11",:,:,:,"6,42",:,"1.459,65",:,"174,45",:,"3,89",:,:,"16,77",:,"1.180,01","139,44",:,"7,92","43,47",:,"574,38","212,45"
2013-06,ES,"754,91","715,77","8,50",:,"85,17","14.632,96","33,25","8,68","140,44",:,"1,45","6.042,20",:,"3.941,81","0,53","6.412,55","5,92","5.209,65","1.153,02",:,"68.074,63","1.728,57","207,16","390,10","90,87",:,"147,00","1.945,72"
