PERIOD,DECLARANT,Andorra,Belgien,Ceuta,Deutschland,Dänemark,Estland,Finnland,Frankreich,Färoer,Gibraltar,Griechenland,Heiliger Stuhl (Vatikanstadt),Irland,Island,Italien,Lettland,Liechtenstein,Litauen,Luxemburg,Malta,Melilla,Niederlande,Norwegen,Osterreich,Polen,Portugal,San Marino,Schweden,Schweiz,Spanien,Türkei,Vereinigtes Königreich
2015-05,Griechenland,:,:,:,"4.198,94","0,60","8,00","1,16","1.085,01",:,:,:,:,:,:,"473,56",:,:,:,"3.641,83",:,:,"112,27","1,80","2.051,02","10,70","68,77",:,"0,67",:,"1,23",:,"1.021,87"
2015-05,Irland,:,"327,74",:,"4.621,24",:,"105,16",:,"2,84",:,"0,50",:,:,:,:,"5,17",:,:,"1.040,56",:,:,:,"8.969,91",:,:,"1,51",:,:,"210,33","0,88","3,43","0,77","27.529,98"
2015-05,Italien,:,"59,56",:,"14.891,47","22,54","8,81","4,28","2.406,18",:,:,:,:,"40.284,91",:,:,:,:,"27,08","9.851,67","3.436,20",:,"89.564,12",:,"75,45","2.657,19","53,76",:,"24,42","95,20","754,69",:,"3.248,67"
2015-05,Kroatia,:,"0,00",:,"536,49","0,00",:,"1,32","2,11",:,:,:,:,"1,91",:,"64,21","0,00",:,:,"0,26",:,:,"2.643,16",:,"2.752,49","9,42",:,:,"375,68",:,:,:,:
2015-05,Lettland,:,:,:,"1.206,93",:,"498,23","784,35",:,:,:,:,:,:,:,"65,48",:,:,"10.921,89",:,:,:,"683,14",:,"1.523,51","9.852,75",:,:,"1.040,55",:,"43,47",:,"108,51"
2015-05,Litauen,:,:,:,"378,24",:,"141,18","504,61","43,54",:,:,:,:,"373,10",:,"609,99","15.742,33",:,:,:,:,:,"17.616,57",:,"286,88","4.152,65","0,34",:,"451,60",:,:,:,"287,74"
2015-05,Luxemburg,:,"9.661,96",:,"1.996,29","1,87",:,:,"671,22",:,:,:,:,"282,80",:,"573,11",:,:,:,:,:,:,"1.412,08",:,"768,47","57,00",:,:,:,:,"2,55","0,60","158,01"
2015-05,Malta,:,:,:,"43,26",:,:,:,"215,73",:,:,:,:,:,:,"956,96",:,:,:,:,:,:,"505,12",:,:,"0,27",:,:,:,:,"0,45",:,"19,77"
2015-05,Niederlande,:,"16.712,27",:,"9.333,24","68,26","18,60","12,44","4.761,98",:,:,"132,12",:,"19.612,46","116,33","2.121,54","124,63",:,"389,65","478,50",:,:,:,"4.524,46","627,65","1.936,86","114,71",:,"6.588,03","6.723,80","177,27","971,57","2.756,66"
2015-05,Oesterreich,:,"195,87",:,"6.668,47","49,38",:,"1.433,15","631,51",:,:,"62,04",:,"51,64",:,"862,06","3.920,29",:,"0,15","3,69",:,:,"18.383,48",:,:,"5.091,57","352,49",:,"365,91","3,34","306,51","0,76","554,30"
2015-05,Polen,:,:,:,"35.524,34",:,"80,46","179,98","1.923,02",:,:,:,:,"685,25",:,"224,64",:,:,"255,59",:,:,:,"10.200,96",:,"6.963,29",:,:,:,"7.189,57",:,"846,91","0,19","1.005,98"
2015-05,Portugal,:,:,:,"2.972,30","2,55",:,"1,22","1.140,49",:,:,:,:,"4.529,41",:,"203,31",:,:,"104,08","2.476,61",:,:,"3.635,27",:,"267,29","22,70",:,:,"442,86","0,68","7.141,19",:,"625,92"
2015-05,Rumanien,:,"15,36",:,"3.589,65",:,:,:,"102,63",:,:,"6,38",:,"363,44",:,"32,55","72,00",:,"4,50",:,:,:,"7.450,72",:,"4.816,12","3.146,67",:,:,"10,03",:,"10,34","0,08","277,69"
2015-05,Schweden,:,"13,30",:,"5.128,20","4.541,48",:,"6.340,45","228,29",:,:,"15,80",:,"21.455,61","0,29","84,20","18,09",:,:,:,:,:,"70.094,47","82,13","369,22","30,27",:,:,:,"9,87",:,"1,29","1.543,66"
2015-05,Slowakei,:,"291,38",:,"7.691,06",:,:,"1.178,51","112,39",:,:,"54,10",:,"1.430,45",:,"1.231,40","282,27",:,"210,75",:,:,:,"40.270,29",:,"208.878,41","6.328,96","70,65",:,"1.031,88","7,07","36,85",:,"4.177,38"
2015-05,Slowenien,:,"859,90",:,"1.627,23",:,:,:,"172,14",:,:,:,:,"6,86",:,"112,26",:,:,:,:,"57,39",:,"2.212,89",:,"8.394,65","13,21",:,:,"61,98",:,:,:,"146,59"
2015-05,Spanien,"4,50","297,71","1,80","7.752,10","16,87",:,"2,07","6.836,37",:,:,"0,09",:,"31.322,64",:,"7.941,74","43,49",:,"130,47","4.828,59","0,22","15,32","44.650,02","10,60","375,10","621,65","679,47",:,"104,44","12,37",:,"0,78","6.534,53"
2015-05,Tschechische Republik,:,"671,46",:,"10.899,57","1,16","4,60","0,01","575,29",:,:,"2,55",:,"34.458,92",:,"88,86","87,05",:,"227,03","0,44","7.890,60",:,"2.000,34","24,40","5.221,13","8.635,91","395,58",:,"1.795,80","7,98","336,50",:,"3.038,08"
2015-05,Ungarn,:,:,:,"645,15","4,73",:,"1.396,62","360,07",:,:,:,:,:,:,:,"469,89",:,:,"72,18",:,:,"31.331,07",:,"1.456,15","5,82",:,:,"538,62","0,12",:,:,"0,16"
2015-05,Ver.Koenigr.,:,"191,24",:,"12.540,05","77,13","14,58","1,18","8.953,11",:,:,"1.874,39",:,"93.828,83","1,80","1.688,86","611,25",:,"708,47","483,57","213,73",:,"200.687,05","2,53","488,77","3.028,59","1.845,27",:,"3.729,70","79,43","2.299,45",:,:
2015-05,Zypern,:,:,:,"414,85",:,:,:,"1,14",:,:,"2.699,50",:,:,:,"95,26",:,:,:,:,:,:,"669,93",:,"128,60","55,69","118,68",:,:,:,"0,41",:,"77,44"
2015-06,Belgien,:,:,:,"3.232,95",:,:,"22,81","2.441,98",:,:,:,:,"8,94",:,"102,81",:,:,:,"2.284,46",:,:,"63.417,89",:,"55,68","49,36","23,65",:,"81,92","1,07","7,49","0,20","2.038,12"
2015-06,Bulgarien,:,:,:,"532,84",:,:,:,"744,71",:,:,"221,99",:,:,:,"11,59","786,77",:,:,:,:,:,"1.103,11",:,"714,42","131,43",:,:,:,:,:,:,"463,06"
2015-06,Daenemark,:,"72,32",:,"12.374,15",:,"14,10","14,53","22,77",:,:,"14,30",:,"56,70",:,"42,22","2,05",:,"54,18",:,:,:,"6.045,81","202,01","42,45","47,80",:,:,"57.781,43","0,00","19,78",:,"232,32"
2015-06,Deutschland,:,"1.434,01",:,:,"2.841,31","43,93","163,39","5.912,68",:,:,"1.682,91",:,"38.650,23",:,"3.857,53","681,51",:,"1.682,07","3.671,78","18,78",:,"198.729,94","9,19","18.160,57","34.963,92","949,55",:,"21.594,01","793,76","1.667,10","28,74","15.396,53"
2015-06,Estland,:,:,:,"411,24","5,77",:,"967,56","81,75",:,:,"136,08",:,"1.334,73",:,:,"4.869,36",:,"1.068,75",:,:,:,:,"195,27",:,"3.885,14",:,:,"1.757,76","430,72",:,:,"185,02"
2015-06,Finnland,:,:,:,"2.071,76","23,58","199,02",:,"179,69",:,:,:,:,"6.450,36",:,:,:,:,:,:,:,:,"9.939,37","1,21","32,06","22,74",:,:,"35.115,03","4,60",:,"0,24","131,75"
2015-06,Frankreich,:,"4.207,35",:,"17.297,23","291,21","103,63","17,49",:,:,:,"211,44",:,"8.515,95",:,"942,87","69,25",:,"0,22","49.209,86","595,42",:,"105.757,76","0,68","443,57","94,68","4.674,40",:,"1.661,37","181,79","1.605,82","1,36","5.159,20"
2015-06,Griechenland,:,:,:,"3.003,65","2,96",:,"0,53","1.341,97",:,:,:,:,:,:,"605,04",:,:,"0,92","4.619,83",:,:,"227,33",:,"2.818,64","9,11","93,51",:,"1,05",:,"6,22",:,"2.208,16"
2015-06,Irland,:,"302,83",:,"5.625,97",:,:,:,"4,12",:,:,:,:,:,:,"1,67",:,:,"123,42",:,:,:,"9.484,87",:,:,"1,33",:,:,"104,94","12,75","3,92",:,"27.055,47"
2015-06,Italien,:,"156,96",:,"17.107,28","38,23","26,62","4,42","6.218,28",:,:,:,:,"9.589,46",:,:,"343,67",:,"51,79","14.941,55","4.864,56",:,"125.518,92",:,"115,73","1.064,85","61,01",:,"5,06",:,"691,06",:,"2.325,98"
2015-06,Kroatia,:,"0,00",:,"599,58","0,00",:,"0,00","0,06",:,:,:,:,"1,54",:,"0,00","0,00",:,:,"0,00",:,:,"1.596,64",:,"2.326,38","1,85",:,:,"326,13",:,:,:,:
2015-06,Lettland,:,:,:,"2.959,72",:,"838,66","563,02",:,:,:,:,:,:,:,"8,12",:,:,"9.515,22",:,:,:,"1.010,82",:,"1.236,55","6.702,67","319,93",:,"1.000,04",:,"104,77",:,"182,58"
2015-06,Litauen,:,:,:,"716,17","34,34","759,91","326,05","28,34",:,:,:,:,"687,79",:,"0,49","10.093,62",:,:,:,:,:,"8.419,42",:,"14,95","1.300,22","0,90",:,"924,67","0,36",:,:,"949,92"
2015-06,Luxemburg,:,"9.448,68",:,"2.649,96","1.151,49",:,:,"1.254,72",:,:,:,:,:,:,"1.229,30",:,:,:,:,:,:,"6.162,52",:,"43,97","60,40",:,:,:,"3,15","1,36",:,"79,12"
2015-06,Malta,:,:,:,"89,56",:,:,:,"250,09",:,:,:,:,:,:,"507,66",:,:,:,:,:,:,"81,11",:,:,"0,52",:,:,:,:,"14,74",:,"22,77"
2015-06,Niederlande,:,"22.295,15",:,"8.108,74","31,69","0,59",:,"7.658,21",:,:,"7,12",:,"6.241,52","132,81","1.134,79","454,70",:,"333,77","166,32",:,:,:,"6.423,68","704,13","1.707,39","297,97",:,"14.915,82","10.212,45","331,69","1.503,97","1.978,01"
2015-06,Oesterreich,:,"240,54",:,"15.290,25","117,64",:,"1.997,27","1.607,98",:,:,"76,58",:,"57,60","106,36","428,70","468,05",:,"0,15",:,:,:,"20.956,28","0,66",:,"4.054,20",:,:,"1.012,30","207,82","963,86","1,28","1.680,15"
2015-06,Polen,:,"7,70",:,"28.069,21","3,68","39,98","246,38","2.284,63",:,:,:,:,:,:,"115,83",:,:,"5,75","12,71",:,:,"6.862,14",:,"8.642,33",:,:,:,"3.913,36","0,19","1.408,16","0,04","1.179,15"
2015-06,Portugal,:,:,:,"4.239,35","1,11",:,"4,33","1.301,83",:,:,:,:,"1.986,90",:,"465,37",:,:,"100,91","4.851,99",:,:,"6.653,34",:,"171,86","16,39",:,:,"418,16","0,80","6.089,67",:,"329,25"
2015-06,Rumanien,:,:,:,"3.003,76",:,:,"59,44","294,69",:,:,"6,64",:,"7,49",:,"94,51","258,67",:,:,:,:,:,"4.253,02",:,"6.365,44","404,98",:,:,:,:,"8,18",:,"135,99"
2015-06,Schweden,:,:,:,"10.569,87","3.425,70",:,"7.455,92","115,93",:,:,:,:,"23.631,09","0,05","113,46","203,81",:,"4,04",:,:,:,"39.589,68","36,54","110,57","84,07",:,:,:,"17,94",:,"0,16","987,89"
2015-06,Slowakei,:,"40,04",:,"6.058,77",:,:,"1.575,79","216,33",:,:,"28,02",:,"2.388,78",:,"1.152,86","1.590,69",:,"244,89",:,"63,80",:,"335,51",:,"247.629,35","8.486,31","54,06",:,"1.197,91","3,00","51,70",:,"1.117,13"
2015-06,Slowenien,:,"681,77",:,"4.168,07",:,:,:,"400,57",:,:,:,:,"0,63",:,"3,31","73,66",:,:,:,"1,96",:,"915,43",:,"6.793,38","6,85",:,:,"71,95",:,:,:,"225,33"
2015-06,Spanien,"6,89","170,50","1,65","6.953,24","12,02","5,92","1,57","9.189,61",:,:,:,:,"23.652,37",:,"8.922,94","30,20",:,"74,22","6.476,15","0,14","12,70","58.174,82","0,10","548,25","577,76","749,57",:,"42,09","6,85",:,"0,88","3.601,75"
2015-06,Tschechische Republik,:,"111,04",:,"11.653,78","35,90","16,72","235,75","831,45",:,:,"16,62",:,"34.421,99","3,20","1.233,38","279,46",:,"249,53",:,"3.378,18",:,"1.238,50","61,14","6.334,31","4.601,87","718,82",:,"562,57","13,13","1.441,97",:,"2.255,08"
2015-06,Ungarn,:,:,:,"207,46",:,:,"1.267,48","406,19",:,:,:,:,:,:,:,"132,36",:,:,"464,70",:,:,"17.701,34",:,"2.626,30","8,48",:,:,"620,12","0,29",:,"0,54",:
2015-06,Ver.Koenigr.,:,"318,55",:,"20.010,58","60,35","86,20","24,37","9.223,42",:,:,"41,77",:,"74.011,24","2,17","1.679,20","2.456,63",:,"1.100,07","1.232,29",:,:,"256.110,73","1,66","821,65","5.313,60","2.086,16",:,"1.246,84","272,16","2.180,60","17,61",:
2015-06,Zypern,:,"58,75",:,"456,14",:,:,:,"3,21",:,:,"2.459,34",:,:,:,"134,76",:,:,:,:,:,:,"142,62",:,"155,48","0,34","25,01",:,:,:,"1,04",:,"117,88"
2015-07,Belgien,:,:,:,"3.776,25",:,:,"84,72","2.454,87",:,:,:,:,"331,42",:,"64,32",:,:,:,"3.295,09",:,:,"70.479,08",:,"714,09","84,64","0,51",:,"135,10","0,41","6,76",:,"522,54"
2015-07,Bulgarien,:,:,:,"894,78",:,"2,25","1,39","418,25",:,:,"3.548,13",:,"30,75",:,"0,21","1.040,82",:,:,:,:,:,"3.359,93",:,"959,06","0,41",:,:,:,:,:,:,"80,95"
2015-07,Daenemark,:,"25,28",:,"4.832,47",:,"8,55","181,33","34,18",:,:,"16,90",:,"56,73","18,86","95,49","0,44",:,"35,97",:,:,:,"8.530,70","0,80","124,89","6,98","32,37",:,"53.233,53","0,94","12,73",:,"296,90"
2015-07,Deutschland,:,"792,83",:,:,"199,49","12,36","1.924,88","5.350,53",:,:,"581,93",:,"82.280,86",:,"2.697,11","465,19",:,"991,74","5.879,43","2,97",:,"153.438,87","2,15","15.078,68","19.289,88","894,55",:,"10.303,70","350,90","1.383,31","7,95","14.876,95"
2015-07,Estland,:,:,:,"520,44","9,01",:,"472,86","0,56",:,:,"67,73",:,"977,90",:,"122,60","8.269,79",:,"664,43",:,:,:,:,"215,19",:,"83,79",:,:,"1.701,49",:,:,:,"205,87"
2015-07,Finnland,:,:,:,"4.441,40","8,89","173,91",:,"178,35",:,:,:,:,"7.307,32",:,"1,07",:,:,"0,05",:,:,:,"17.692,40","1,90","64,41",:,:,:,"29.722,83","0,53",:,"0,45","10,42"
2015-07,Frankreich,:,"2.301,82",:,"18.602,32","99,33","197,81","48,37",:,:,:,"1,34",:,"13.735,18",:,"1.289,59","151,28",:,"2,09","45.786,51","596,19",:,"116.461,01","0,95","464,74","581,43","5.654,45",:,"2.963,43","12,94","1.620,19","0,48","14.289,98"
2015-07,Griechenland,:,:,:,"767,44","3,33",:,"0,78","127,74",:,:,:,:,:,:,"57,65",:,:,:,"4.187,96",:,:,"185,86",:,"1.330,87","5,77",:,:,"0,23",:,"0,27","2,29","20,79"
2015-07,Irland,:,"13,86",:,"86,60",:,:,:,"6,50",:,:,:,:,:,:,"0,77",:,:,:,:,:,:,"6.901,07",:,:,"3,23",:,:,:,"5,39","1,24",:,"24.700,33"
2015-07,Italien,:,"148,64",:,"11.260,16","578,12","41,55","2,53","2.664,13",:,:,:,:,"14.375,22",:,:,"85,22",:,:,"6.868,76","4.536,84",:,"65.340,80",:,"612,09","269,34","35,13",:,"6,51","1,63","455,55",:,"1.095,79"
2015-07,Kroatia,:,"0,00",:,"1.058,66","0,00",:,"0,92","0,00",:,:,:,:,"2,09",:,"249,44","32,38",:,:,:,:,:,"5.721,97",:,"3.241,93","7,05",:,:,"378,69",:,:,:,"0,09"
2015-07,Lettland,:,:,:,"863,84",:,"1.862,61","511,80",:,:,:,:,:,:,:,"98,04",:,:,"14.699,99","55,60",:,:,"858,42",:,"1.084,63","697,02",:,:,"998,37",:,"1.229,26",:,"338,00"
2015-07,Litauen,:,:,:,"929,85",:,"62,49","677,37","141,74",:,:,"0,29",:,"494,28",:,"192,90","11.746,96",:,:,:,:,:,"13.426,06",:,"2,33","236,67",:,:,"2.379,19",:,"0,25",:,"1.435,52"
2015-07,Luxemburg,:,"7.159,17",:,"514,15",:,:,:,"2.281,16",:,:,:,:,"73,50",:,"7,59",:,:,:,:,:,:,"1.991,68",:,"23,66","46,75","74,87",:,:,"8,21","0,96",:,"69,02"
2015-07,Malta,:,:,:,"98,19",:,:,:,"132,15",:,:,"0,95",:,"0,27",:,"553,56",:,:,:,:,:,:,"200,82",:,:,"0,85",:,:,:,"0,15","0,89","0,03","5,86"
2015-07,Niederlande,:,"11.958,63",:,"5.783,53","294,49",:,"2,06","2.067,77",:,:,"189,46",:,"23.555,16","146,74","836,47","73,52",:,"79,34","0,73",:,:,:,"5.315,83","584,59","962,26","127,15",:,"11.151,81","11.553,27","230,27","692,23","3.990,73"
2015-07,Oesterreich,:,"94,13",:,"15.767,04","200,06",:,"1.581,21","168,03",:,:,"262,22",:,"177,26",:,"85,97","565,30","0,12","134,67","442,55",:,:,"11.812,50",:,:,"7.826,30",:,:,"2.938,07","2,31","841,05","0,24","1.210,37"
2015-07,Polen,:,"185,45",:,"41.997,05","35,17","270,80","14,22","2.731,69",:,:,:,:,"72,48",:,"217,62","493,51",:,"195,32",:,"269,90",:,"11.190,49","0,06","17.123,37",:,"77,29",:,"2.025,48","1,27","2.137,59","0,27","807,77"
2015-07,Portugal,:,:,:,"2.177,54","0,36",:,"2,87","626,52",:,:,:,:,"2.604,96",:,"702,84",:,:,"220,71","3.425,63",:,:,"4.912,89","0,16","67,57",:,:,:,"354,61","0,38","8.464,67",:,"368,05"
2015-07,Rumanien,:,"25,78",:,"6.651,92",:,:,"1,29","1.641,70",:,:,"85,99",:,"5,90",:,"397,94","20,39",:,"33,20",:,:,:,"9.217,74","3,63","6.408,19","202,51","378,28",:,"32,23",:,"84,30",:,"123,22"
2015-07,Schweden,:,:,:,"8.875,51","3.578,22",:,"8.408,38","363,82",:,:,:,:,"27.034,41","29,60","44,69","27,57",:,"529,93",:,:,:,"73.398,65","247,33",:,"37,10",:,:,:,"9,87","1.208,11","1,05","1.443,83"
2015-07,Slowakei,:,"10,61",:,"14.740,44",:,:,"1.467,23","401,85",:,:,:,:,"2.380,30",:,"1.147,03","651,89",:,"196,47",:,:,:,"24.012,71",:,"226.620,01","1.872,57","345,02",:,"1.362,60","2,66","60,57",:,"2.029,43"
2015-07,Slowenien,:,:,:,"1.179,61",:,:,:,"280,24",:,:,:,:,"33,14",:,"1,60",:,:,:,:,"45,44",:,"1.655,88",:,"4.897,89","5,63",:,:,"278,00","0,20",:,:,"108,64"
2015-07,Spanien,"10,31","0,14","1,65","6.859,60","3,53","17,75","1,75","8.840,95",:,:,"0,06",:,"40.757,65",:,"12.124,44",:,:,"4,33","9.444,81","0,15","8,16","36.935,90","0,06","429,97","240,45","1.401,74",:,"15,72","0,82",:,"1,10","3.248,35"
2015-07,Tschechische Republik,:,"2,39",:,"20.018,84","0,48","11,54","561,77","400,05",:,:,"102,19",:,"28.155,22",:,"392,01","98,55",:,"28,52","68,86","373,48",:,"1.926,34","15,69","5.640,73","2.142,46","185,48",:,"568,88","21,76","839,44",:,"495,59"
2015-07,Ungarn,:,:,:,"203,16","5,58",:,"3.124,81","730,93",:,:,"29,35",:,:,:,:,"497,50",:,:,"1.219,57",:,:,"29.946,00",:,"1.916,19","48,78",:,:,"1.123,04","2,34","0,63",:,"59,64"
2015-07,Ver.Koenigr.,:,"70,65",:,"12.874,20","148,18","386,14","1,19","10.669,85",:,:,"656,17",:,"75.463,84",:,"3.370,28","903,24",:,"891,96","311,62","94,35",:,"189.682,27","1,25","1.919,22","1.335,51","2.088,00",:,"8.239,46","47,18","4.445,04",:,:
2015-07,Zypern,:,:,:,"606,75",:,:,:,"1,43",:,:,"3.501,38",:,:,:,"174,16","74,34",:,:,:,:,:,"284,72",:,"866,04","100,85","4,48",:,:,:,"25,93",:,"320,50"
2015-08,Belgien,:,:,:,"1.961,14",:,"25,27","59,26","2.502,66",:,:,:,:,"22,33",:,"69,80","60,82",:,:,"2.653,66",:,:,"55.140,60",:,"26,06","110,16",:,:,"2.629,35","0,82","8,45","0,60","325,05"
2015-08,Bulgarien,:,:,:,"1.537,30",:,:,:,"889,25",:,:,"573,07",:,:,:,"16,82","801,97",:,:,:,:,:,"2.991,93",:,"989,35","0,85",:,:,:,:,:,:,"205,23"
2015-08,Daenemark,:,"23,87",:,"3.970,97",:,"0,31","119,77","32,61","307,15",:,"17,33",:,"58,49","39,06","49,81","0,43",:,"25,57",:,:,:,"5.846,78","28,84","151,04","7,41",:,:,"46.899,49","0,48","11,53","0,29","287,03"
2015-08,Deutschland,:,"1.249,17",:,:,"860,12","431,81","595,56","4.946,82",:,:,"598,68",:,"71.801,98",:,"2.202,94","577,42",:,"1.175,81","6.498,48",:,:,"83.116,63","7,79","15.163,26","13.472,84","1.404,55",:,"14.446,52","228,14","2.088,14","39,62","9.421,49"
2015-08,Estland,:,"6,32",:,"568,75","0,19",:,"144,62","204,65",:,:,"40,03",:,"543,54",:,"78,77","6.415,02",:,"816,53",:,:,:,:,"187,91",:,"181,61",:,:,"999,13",:,"0,58",:,"355,74"
2015-08,Finnland,:,:,:,"1.404,91","60,07","65,46",:,"90,18",:,:,:,:,"7.331,12",:,:,:,:,"0,10",:,:,:,"11.229,82","0,92","13,09","25,41",:,:,"30.401,60","3,32",:,:,"0,12"
2015-08,Frankreich,:,"2.898,47",:,"16.433,19","24,36","160,63","34,42",:,:,"2,98","0,63",:,"11.244,50",:,"920,08","31,30",:,"39,78","45.182,54","665,72",:,"98.807,45","2,25","674,45","480,64","5.933,76",:,"1.011,10","16,52","879,73","1,01","7.131,89"
2015-08,Griechenland,:,"2,50",:,"3.410,41","0,72",:,"0,17","317,34",:,:,:,:,:,:,"218,22","28,40",:,:,"3.423,51",:,:,"536,41",:,"787,00","23,53","5,41",:,:,:,"1,89",:,"324,54"
2015-08,Irland,:,"2,18",:,"93,75",:,:,:,"25,99",:,:,:,:,:,:,"1,16",:,:,:,:,:,:,"6.197,07","0,65",:,"0,67","4,13",:,"283,79","0,80","0,81",:,"26.018,95"
2015-08,Italien,:,"226,96",:,"4.270,27","31,86","194,07","3,88","2.376,47",:,:,:,:,"11.466,36",:,:,"207,29",:,"21,36","20.512,89","8.894,43",:,"34.153,54",:,"153,49","286,99","7,88",:,"4,45","3,56","452,87",:,"1.145,40"
2015-08,Kroatia,:,"0,00",:,"1.615,16","15,00",:,:,"0,00",:,:,:,:,"4,20",:,"26,08","139,24",:,:,:,:,:,"4.120,42",:,"5.503,41","1,32",:,:,"475,75",:,:,:,"29,86"
2015-08,Lettland,:,:,:,"595,62","0,11","842,95","694,80",:,:,:,:,:,:,:,"160,84",:,:,"10.194,43","45,75",:,:,"241,72",:,"204,87","310,31",:,:,"916,38",:,"85,80",:,"233,37"
2015-08,Litauen,:,:,:,"360,07",:,"365,42","1.061,76","52,26",:,:,:,:,"563,60",:,"0,70","13.536,84",:,:,:,:,:,"5.967,03",:,"170,10","2.045,23",:,:,"1.053,13",:,"5,55",:,"650,61"
2015-08,Luxemburg,:,"5.226,86",:,"251,22",:,:,:,"443,80",:,:,:,:,"85,35",:,"1,81",:,:,:,:,:,:,"765,48",:,"31,21","67,06","19,59",:,:,"0,03","1,74",:,"96,28"
2015-08,Malta,:,:,:,"93,29",:,:,:,"138,10",:,:,:,:,:,:,"504,71",:,:,:,:,:,:,"94,86",:,:,"0,95",:,:,:,:,"1,27",:,"10,98"
2015-08,Niederlande,:,"14.597,93",:,"5.254,26","158,32",:,"3,10","2.516,13",:,:,"0,97",:,"15.242,21","130,04","1.011,29","18,84",:,"79,99","76,03","329,16",:,:,"4.150,30","440,17","1.407,97","91,74",:,"272,73","9.329,09","365,44","553,76","2.290,05"
2015-08,Oesterreich,:,"239,00",:,"12.775,50","33,80",:,"1.961,24","855,80",:,:,"135,40",:,"177,41",:,"357,81","424,25",:,"74,58",:,:,:,"6.579,49",:,:,"5.175,34","803,33",:,"1.121,34","2,65","345,13","1,39","561,65"
2015-08,Polen,:,:,:,"33.288,26","17,63","104,54","4,57","3.199,87",:,:,:,:,"142,74",:,"336,06","868,46",:,"87,64","50,78",:,:,"5.580,77","3,78","12.963,36",:,"31,08",:,"3.186,48","1,47","1.177,20","0,15","902,13"
2015-08,Portugal,:,:,:,"2.188,50",:,:,"0,45","1.304,78",:,:,:,:,"1.724,50",:,"130,59",:,:,"183,81","1.705,93",:,:,"5.509,80",:,"28,91",:,:,:,"323,37","0,22","7.748,59",:,"443,99"
2015-08,Rumanien,:,"0,91",:,"3.736,85",:,:,"0,70","463,15",:,:,:,:,"7,69",:,"112,45","63,39",:,:,:,:,:,"5.671,11",:,"4.613,62","150,96","369,41",:,:,"156,99","7,84",:,"471,54"
2015-08,Schweden,:,"50,86",:,"4.478,87","1.362,17",:,"7.414,59","266,61",:,:,:,:,"21.077,29",:,"107,67","93,68",:,"153,18",:,"9,15",:,"63.248,99","721,56","294,58","34,49",:,:,:,"12,75","24,76","0,28","1.779,42"
2015-08,Slowakei,:,"86,88",:,"26.168,58",:,:,"1.585,99","40,27",:,:,"22,53",:,"2.914,80",:,"977,90","1.434,63",:,"102,86",:,:,:,"832,11",:,"292.501,95","4.007,86","52,40",:,"1.848,61","1,77","89,62",:,"1.348,27"
2015-08,Slowenien,:,:,:,"1.764,09","0,80",:,:,"223,15",:,:,:,:,"12,12",:,:,:,:,:,:,:,:,"2.152,93",:,"5.399,66","12,07",:,:,"177,24",:,:,:,"287,77"
2015-08,Spanien,"6,70","0,47","2,86","3.420,68","24,77","6,92","1,61","5.159,08",:,:,:,:,"30.214,02",:,"13.610,16",:,:,"14,67","9.045,30",:,"11,88","34.395,98","0,62","724,72","706,66","433,12",:,"17,18","3,64",:,:,"2.806,34"
2015-08,Tschechische Republik,:,"1,70",:,"7.355,42",:,"11,95","248,57","520,06",:,:,"23,67",:,"39.326,51","238,15","204,56","578,68",:,"57,12","1,41","0,99",:,"2.295,58","20,65","2.631,37","2.080,23","43,04",:,"1.262,35","18,65","440,08",:,"291,71"
2015-08,Ungarn,:,:,:,"132,44",:,:,"1.675,56","557,29",:,:,:,:,:,:,:,"78,75",:,:,"442,82",:,:,"30.636,27","0,21","1.865,77","85,15",:,:,"626,37","0,16","0,27",:,:
2015-08,Ver.Koenigr.,:,"201,22",:,"13.747,76","77,15","439,93","15,85","6.104,17",:,:,"474,05",:,"81.789,41",:,"587,38","282,15",:,"302,81","193,80","131,60",:,"173.023,33","71,82","1.771,54","1.296,92","910,25",:,"5.020,01","66,33","917,65",:,:
2015-08,Zypern,:,:,:,"441,38",:,:,:,"6,22",:,:,"2.958,19",:,:,:,"311,07",:,:,:,:,:,:,"388,30",:,"1.227,23","44,91","209,29",:,:,:,"14,87",:,"232,20"
2015-09,Belgien,:,:,:,"1.079,47","3,87",:,"183,30","3.505,10",:,:,:,:,"196,01",:,"48,91",:,:,:,"3.650,43",:,:,"53.889,30","0,91","32,44","25,07",:,:,"297,89","0,28","43,50","2,08","805,44"
2015-09,Bulgarien,:,"0,64",:,"1.516,13",:,"3,15","1,03","468,29",:,:,"1.583,78",:,"37,75",:,:,"709,65",:,:,:,:,:,"2.648,53","0,64","972,37","0,71",:,:,:,"0,28",:,:,"610,37"
2015-09,Daenemark,:,"27,18",:,"2.307,00",:,"0,31","168,99","63,64",:,:,"19,94",:,"24,36","10,19","67,98","0,75",:,:,:,"0,43",:,"2.702,05","80,49","215,48","8,25",:,:,"44.792,04","167,50","114,27","0,45","325,18"
2015-09,Deutschland,:,"489,56",:,:,"1.399,56","738,04","166,52","8.390,30",:,:,"697,26",:,"14.815,29",:,"2.592,88","430,83",:,"608,66","1.188,15","224,90",:,"54.294,35","9,52","11.139,89","11.562,37","761,46",:,"10.317,25","335,50","2.539,47","31,65","17.282,83"
