PERIOD,DECLARANT,Andorra,Belgien,Ceuta,Deutschland,Dänemark,Estland,Finnland,Frankreich,Färoer,Gibraltar,Griechenland,Heiliger Stuhl (Vatikanstadt),Irland,Island,Italien,Lettland,Liechtenstein,Litauen,Luxemburg,Malta,Melilla,Niederlande,Norwegen,Osterreich,Polen,Portugal,San Marino,Schweden,Schweiz,Spanien,Türkei,Vereinigtes Königreich
2012-02,Litauen,:,:,:,"85,98","304,38","0,16","2.256,91",:,:,:,:,:,"610,40",:,"4,88","4.455,23",:,:,:,:,:,"66,72",:,:,"113,03",:,:,"185,80",:,:,:,"290,29"
2012-02,Luxemburg,:,"5.205,04",:,"1.354,41","85,89",:,:,"148,44",:,:,:,:,:,:,:,"67,30","0,20",:,:,:,:,"2.273,39",:,"883,77","9,77","30,99",:,:,"0,13",:,:,"283,68"
2012-02,Malta,:,:,:,"80,40",:,:,"9,37","57,20",:,:,:,:,:,:,"107,43",:,:,:,:,:,:,"202,89",:,:,"6,58",:,:,:,:,:,:,"95,11"
2012-02,Niederlande,:,"4.400,54",:,"6.719,87","40,85",:,"3.369,12","1.037,06",:,:,"0,39",:,"45.586,83",:,"95,87",:,:,:,"625,13",:,:,:,"1.122,18","197,79","494,60","6,29",:,"278,99","708,41","138,91","134,53","8.837,81"
2012-02,Oesterreich,:,"12,27",:,"10.215,05","5,67",:,"459,44","146,91",:,:,"56,46",:,"8.221,63",:,"4.599,35","34,65",:,"35,26",:,:,:,"14.529,88",:,:,"4.735,93",:,:,"72,69","8,61",:,"0,45","825,00"
2012-02,Polen,:,:,:,"15.109,69",:,"40,72","5.602,83","137,98",:,:,:,:,"8,75",:,"90,99",:,:,:,"6.432,97",:,:,"944,43","0,37","11.133,60",:,"16,67",:,"3,40","0,75","6,32",:,"1.269,97"
2012-02,Portugal,:,:,:,"128,96",:,:,"1.023,13","547,43",:,:,:,:,"6.268,31",:,"280,29",:,:,:,"4.215,53",:,:,"5.040,10",:,"0,22","69,19",:,:,"604,97","0,91","451,00",:,"294,12"
2012-02,Rumanien,:,:,:,"4.036,55",:,:,"385,98","174,44",:,:,:,:,:,"0,57","0,74","16,96",:,:,"23,92","4,46",:,"5.102,80",:,"1.773,79","31,46","8,42",:,"71,24","0,30","18,74",:,"538,16"
2012-02,Schweden,:,:,:,"2.095,58","6.627,79","0,05","5.504,94","737,00",:,:,:,:,"15.515,39",:,"75,38","0,17",:,"250,57",:,:,:,"38.247,51","463,75","69,20","43,48",:,:,:,"177,10","7,52","0,76","29.460,68"
2012-02,Slowakei,:,:,:,"952,88","127,80",:,"2.891,62","320,97",:,:,:,:,"2.465,70",:,"61,64",:,:,"591,23",:,:,:,:,:,"89.055,73","2.378,17","9,96",:,"1.168,37",:,"422,87",:,"1.916,89"
2012-02,Slowenien,:,:,:,"144,62",:,:,"469,80","305,74",:,:,:,:,:,:,"0,12",:,:,:,:,:,:,"621,57",:,"5.955,88","25,00",:,:,"537,10",:,"0,12",:,"4,90"
